[00:09.980 --> 00:10.980]  Oh, nice.
[01:45:24.540 --> 01:45:26.460]  It's a bunch of rosin.
[01:45:27.980 --> 01:45:28.700]  Sorry, go ahead.
[01:45:29.660 --> 01:45:33.500]  I like sometimes your audio cuts out.
[01:45:33.500 --> 01:45:35.180]  So I was like, oh, he wasn't talking.
[01:45:35.180 --> 01:45:36.700]  I'm going to jump in with a question.
[01:45:36.700 --> 01:45:37.980]  But you were still going.
[01:45:37.980 --> 01:45:38.700]  I apologize.
[01:45:39.020 --> 01:45:43.180]  It was not at all.
[01:45:45.820 --> 01:45:52.220]  OK, but no, you said it was kind of a hot topic right now because it is powerful,
[01:45:52.220 --> 01:45:53.740]  but it does get decarbed.
[01:45:53.740 --> 01:45:57.980]  And I was going to ask if it gets is it decarbed just through the process
[01:46:00.380 --> 01:46:05.100]  of getting it to make the rosin or where is the decarbing coming in?
[01:46:05.100 --> 01:46:08.060]  They're not sticking a little while in the oven, are they?
[01:46:09.260 --> 01:46:12.140]  Sure, sure.
[01:46:12.140 --> 01:46:18.860]  So they are decarbing the whole jar of their cooking rosin.
[01:46:18.860 --> 01:46:19.100]  Yes.
[01:46:19.740 --> 01:46:30.140]  OK, so that I asked if it's the obvious choice B rosin that they're not putting in grams
[01:46:30.140 --> 01:46:32.860]  or whatever, they'll have a large amount of that.
[01:46:33.580 --> 01:46:34.460]  No, he thought that.
[01:46:37.020 --> 01:46:41.740]  Typically, they'll use like an electric magnetic spinner, right?
[01:46:41.740 --> 01:46:48.220]  That way they can put it in like a flask and have it rotating with a magnetic spinner at
[01:46:48.220 --> 01:46:48.620]  the bottom.
[01:46:49.340 --> 01:46:53.900]  It's going to bubble up almost over the top.
[01:46:53.900 --> 01:47:00.940]  But you can use a heat gun to extinguish those bubbles as it decarbs.
[01:47:01.580 --> 01:47:06.860]  But then you have a decarbed full spectrum rosin product that you can.
[01:47:09.260 --> 01:47:11.660]  If you're decarbing it, there's going to be that conversion, right?
[01:47:11.660 --> 01:47:13.900]  So if you have the test results from the rosin before.
[01:47:18.750 --> 01:47:22.590]  No, he's cutting out, but I know where he's going with this one.
[01:47:22.590 --> 01:47:26.430]  There is that conversion because you lose from.
[01:47:26.430 --> 01:47:30.670]  OK, so yeah, so if it's right, I'll let you pick it up from there.
[01:47:33.630 --> 01:47:39.470]  So if you have all of this rosin that you're going to be using for cooking, you don't really
[01:47:39.470 --> 01:47:40.670]  need to test it first.
[01:47:41.230 --> 01:47:45.150]  You need to do that and then test it after because that's when you're going to be using
[01:47:45.150 --> 01:47:45.550]  it, right?
[01:47:48.510 --> 01:47:49.150]  That makes sense?
[01:47:49.870 --> 01:47:50.910]  Yep, that makes sense.
[01:47:51.630 --> 01:47:55.150]  And I was going to say, yeah, if you did have it tested first, like if it was something
[01:47:55.150 --> 01:47:59.550]  that you did get from the dispensary and then you go to the decarb route, you have to do
[01:47:59.550 --> 01:48:05.950]  the conversion of the math because it's going to come out as a lower percentage slightly
[01:48:05.950 --> 01:48:10.030]  because it's like 0.0887 or something.
[01:48:11.630 --> 01:48:13.870]  And typically rosin is pressed.
[01:48:15.390 --> 01:48:21.630]  Typically rosin is pressed at like 160 to 200 degrees, like if you want to.
[01:48:21.630 --> 01:48:23.550]  So you're not getting much decarboxing.
[01:48:24.350 --> 01:48:24.590]  Yeah.
[01:48:26.030 --> 01:48:26.990]  In that process.
[01:48:26.990 --> 01:48:31.150]  OK, so after this process, treat it like marmalade.
[01:48:33.630 --> 01:48:34.030]  Let's see.
[01:48:35.070 --> 01:48:43.310]  Is there now is there a preference or is there something like in your personal experiences
[01:48:43.310 --> 01:48:50.510]  that you have found is better for using with edibles, whether starting like a rosin or
[01:48:50.510 --> 01:48:55.310]  starting with a distillate or just starting with pure flour or RSO?
[01:48:55.310 --> 01:49:01.070]  If you put all of those individually into the same cookie, well, different cookies.
[01:49:01.070 --> 01:49:06.430]  But is there one in your experience for your body that you found that does better?
[01:49:06.430 --> 01:49:07.230]  Is there a difference?
[01:49:10.590 --> 01:49:15.950]  So chef's tip is whole plant medicine, full spectrum.
[01:49:16.670 --> 01:49:24.750]  So if I was going to choose, it would be that FICO RSO or like a flour decarbed into
[01:49:27.310 --> 01:49:29.710]  like a let's say a coconut oil.
[01:49:29.710 --> 01:49:32.030]  I would choose a coconut oil over a butter.
[01:49:33.310 --> 01:49:35.870]  And then also another chef's tip.
[01:49:35.870 --> 01:49:38.830]  This is old school from my college days.
[01:49:39.070 --> 01:49:46.190]  So if you're going to use butter, like I said, I don't really use butter too much anymore.
[01:49:47.070 --> 01:49:51.230]  But it's got like I believe it's a 75 percent butterfat content.
[01:49:52.110 --> 01:49:55.710]  The other 25 percent is milk solids and impurities.
[01:49:55.710 --> 01:50:01.230]  So like when you melt butter, you got the foamy white stuff and the frothy and then
[01:50:01.230 --> 01:50:02.750]  you have your clarified butter, right?
[01:50:03.630 --> 01:50:06.750]  So that's your 75, 25 or whatever it works out to.
[01:50:07.710 --> 01:50:14.350]  European style butter is more like an 87 percent butterfat content.
[01:50:14.990 --> 01:50:19.150]  And if you want to correlate that to a coconut oil, coconut oil is more along the lines of
[01:50:19.150 --> 01:50:21.550]  the 90 percent fat.
[01:50:22.670 --> 01:50:31.470]  So like the more fat, the better, because cannabinoids are oils and fat molecules bond.
[01:50:31.470 --> 01:50:31.790]  Right.
[01:50:32.670 --> 01:50:36.110]  So like you're going to have a better and more efficient oil.
[01:50:38.430 --> 01:50:45.230]  So you can use like a European style butter as opposed to like traditional butter and
[01:50:45.230 --> 01:50:47.070]  the brand for that is like Plugra.
[01:50:50.670 --> 01:50:56.110]  Or like an Irish butter is more along the lines of an American butter actually.
[01:50:56.110 --> 01:51:00.430]  So like Irish butter won't have that higher butterfat content.
[01:51:01.150 --> 01:51:02.990]  But the European style butter will.
[01:51:05.710 --> 01:51:12.510]  Does it help maybe retain some of the cannabinoids if it's like a fatty food like donuts,
[01:51:12.510 --> 01:51:13.710]  like infused donuts?
[01:51:15.630 --> 01:51:20.190]  Or does it make a difference because of the input is there?
[01:51:20.190 --> 01:51:21.710]  I guess let me question.
[01:51:22.510 --> 01:51:25.070]  I'm the king of long rambling questions.
[01:51:25.070 --> 01:51:28.030]  If you haven't noticed, I'll just put it out there.
[01:51:31.070 --> 01:51:32.430]  That's my ability anyway.
[01:51:32.430 --> 01:51:34.030]  I might be wrong if I'm wrong.
[01:51:36.190 --> 01:51:37.550]  That's our style.
[01:51:37.550 --> 01:51:38.430]  There's no other way.
[01:51:38.430 --> 01:51:39.710]  That's all of our styles.
[01:51:44.670 --> 01:51:49.470]  But, you know, if I was and this is probably not even possible, but if I was trying to
[01:51:49.470 --> 01:51:57.310]  like infuse a donut and infuse a carrot, like is the infusion going to stick at equal levels
[01:51:57.310 --> 01:52:01.950]  because there's more fat in the donut than there is the carrot because it's just infused?
[01:52:01.950 --> 01:52:03.070]  Does it make a difference?
[01:52:04.910 --> 01:52:12.190]  So the donut for me sounds like a tough example because like you could have like you're cooking
[01:52:12.190 --> 01:52:16.270]  the donut, the dough might have oil in it, right?
[01:52:16.270 --> 01:52:18.750]  Or butter in it, but then you're going to fry it, right?
[01:52:19.470 --> 01:52:25.790]  So if you're going to fry this donut, is some of your cannabinoids going out of your dough
[01:52:25.790 --> 01:52:28.830]  and into this frying oil or are you baking it?
[01:52:28.830 --> 01:52:32.350]  So like these are the things that chef thinks about all these things.
[01:52:33.870 --> 01:52:34.990]  I'm a non-chef.
[01:52:34.990 --> 01:52:37.310]  So yes, I'm just like fatty food.
[01:52:37.310 --> 01:52:38.190]  I like donuts.
[01:52:38.190 --> 01:52:40.350]  But my wife always tells me those are bad.
[01:52:42.590 --> 01:52:46.270]  Well, the carrot is really the carrot.
[01:52:46.270 --> 01:52:50.110]  So like maybe you'll have a salad and you'll have an infused vinaigrette and your little
[01:52:50.110 --> 01:52:53.310]  cup will have the amount of cannabinoids in each cup or whatever.
[01:52:53.310 --> 01:52:57.390]  So then your whole salad will have that, I guess.
[01:52:57.390 --> 01:53:02.030]  But if you had a different item than the donut, that would be an easier.
[01:53:03.870 --> 01:53:07.070]  Okay, try to get technical with an expert here.
[01:53:07.070 --> 01:53:14.910]  Next entry, dude, is going to be the next winner, the Chad's apple cider donuts.
[01:53:14.910 --> 01:53:20.510]  Dude, if you could infuse the donut, whether it be the oil that it's cooking in or just
[01:53:20.510 --> 01:53:21.070]  the dough.
[01:53:21.070 --> 01:53:22.510]  I love the apple cider donuts.
[01:53:24.270 --> 01:53:25.870]  It'd probably be the icing, wouldn't it?
[01:53:25.870 --> 01:53:27.310]  Because that's like butter.
[01:53:27.310 --> 01:53:29.310]  Yeah, or the frosting cream filling, right?
[01:53:29.870 --> 01:53:32.510]  Oh, East Coaster's over there.
[01:53:32.510 --> 01:53:36.510]  So do you guys get down with the maple bar and bacon?
[01:53:36.510 --> 01:53:38.990]  Like is that in the East Coast yet?
[01:53:38.990 --> 01:53:41.790]  Oh, you just opened up an old one.
[01:53:41.790 --> 01:53:51.870]  So the day I met John at the Harvest Cup in 2019, I had two entries.
[01:53:51.870 --> 01:53:52.510]  2018.
[01:53:52.590 --> 01:53:53.090]  One.
[01:53:54.510 --> 01:53:55.870]  18, 19.
[01:53:55.870 --> 01:53:56.670]  One of those ones.
[01:53:58.110 --> 01:53:59.550]  One could be a filling, right?
[01:53:59.550 --> 01:54:05.230]  So I did the strawberry jalapeno marmalade that won the Harvest Cup there.
[01:54:05.230 --> 01:54:07.550]  That could be like a jelly donut filling, right?
[01:54:08.270 --> 01:54:17.630]  Well, then I also did the maple bacon bourbon onion jam.
[01:54:18.030 --> 01:54:18.530]  Oh!
[01:54:20.110 --> 01:54:21.870]  So that was also something.
[01:54:23.070 --> 01:54:25.070]  It's like that would be great on a burger, right?
[01:54:26.030 --> 01:54:26.530]  Yes.
[01:54:27.230 --> 01:54:27.790]  Yeah.
[01:54:27.790 --> 01:54:28.290]  So that's awesome.
[01:54:28.290 --> 01:54:35.550]  The strawberry jalapeno marmalade, I was like brushed on some barbecue ribs.
[01:54:36.990 --> 01:54:37.710]  Yeah.
[01:54:37.710 --> 01:54:41.150]  And glazed the strawberry jalapeno marmalade.
[01:54:41.150 --> 01:54:43.950]  And that was good just on some sourdough in the morning.
[01:54:43.950 --> 01:54:45.870]  He gave me a little jar of it.
[01:54:45.870 --> 01:54:46.830]  That was my first.
[01:54:47.790 --> 01:54:52.670]  And the picture that you smashed of John and I at the beginning with Eddie Lipp.
[01:54:53.310 --> 01:54:56.590]  Like he came up and that was what was up.
[01:54:56.590 --> 01:54:56.830]  Yeah.
[01:54:56.830 --> 01:54:57.310]  Heck yeah.
[01:55:00.750 --> 01:55:01.390]  Eddie Lipp.
[01:55:01.390 --> 01:55:01.890]  Yeah.
[01:55:02.910 --> 01:55:03.390]  Back there.
[01:55:03.390 --> 01:55:03.710]  Yep.
[01:55:03.710 --> 01:55:05.710]  You got Eddie.
[01:55:05.710 --> 01:55:07.790]  He looks particularly happy there too.
[01:55:08.430 --> 01:55:08.910]  On the right.
[01:55:08.910 --> 01:55:11.470]  On the left, he looks pretty vagues.
[01:55:11.470 --> 01:55:14.030]  On the right, he's like, I just got high.
[01:55:14.350 --> 01:55:16.350]  I got to smoke my stuff with him.
[01:55:16.350 --> 01:55:17.950]  I definitely lit him up.
[01:55:18.830 --> 01:55:19.390]  Oh yeah.
[01:55:20.590 --> 01:55:21.950]  That's awesome.
[01:55:21.950 --> 01:55:25.390]  OG RIP, the OG Eddie Lipp.
[01:55:26.990 --> 01:55:27.550]  Definitely.
[01:55:27.550 --> 01:55:28.190]  That's magic.
[01:55:28.190 --> 01:55:29.550]  The biggest balls on the planet.
[01:55:30.590 --> 01:55:31.870]  Biggest balls on the planet.
[01:55:31.870 --> 01:55:32.370]  That's right.
[01:55:34.030 --> 01:55:34.590]  Yeah.
[01:55:34.590 --> 01:55:35.070]  Look at that.
[01:55:35.070 --> 01:55:35.790]  He's the man.
[01:55:35.790 --> 01:55:36.350]  Yeah.
[01:55:36.350 --> 01:55:40.990]  And everybody, we mentioned, I'll shamelessly plug my stuff here too.
[01:55:41.230 --> 01:55:48.510]  We mentioned, you know, Kiss Organics, Tad Hussey earlier.
[01:55:48.510 --> 01:55:52.350]  Me and him have been working together on a project called Dope History, which we've been
[01:55:52.350 --> 01:55:53.310]  meaning to launch.
[01:55:54.430 --> 01:55:56.670]  It's very, very, very close to launching.
[01:55:57.230 --> 01:56:01.790]  But one of the things we're doing is we're interviewing some of the people that were
[01:56:01.790 --> 01:56:05.150]  around, kind of at the foundation of it.
[01:56:05.150 --> 01:56:07.710]  And he's been on this project for a couple of years.
[01:56:07.710 --> 01:56:09.870]  We have an interview with OG Eddie Lipp.
[01:56:09.870 --> 01:56:15.870]  And I had the honor of doing the editing on that and taking hours of their conversation
[01:56:15.870 --> 01:56:18.030]  and boiling it down to about an hour.
[01:56:18.030 --> 01:56:24.430]  But yeah, when you say the biggest balls in football fields, tune into that episode, guys,
[01:56:24.430 --> 01:56:27.150]  and you'll understand that that guy did his thing.
[01:56:27.150 --> 01:56:33.390]  You told me a story about Joe Montana.
[01:56:34.830 --> 01:56:36.590]  He's the Joe Montana.
[01:56:36.670 --> 01:56:42.590]  When he was here in Boston, a lot of people kind of mistook him for Chong.
[01:56:42.590 --> 01:56:43.630]  They're like, oh, that looks like Chong.
[01:56:43.630 --> 01:56:44.130]  Yes.
[01:56:44.670 --> 01:56:45.470]  That Chong dude.
[01:56:47.470 --> 01:56:52.190]  And even Chong posted up a poster of them together, or maybe it was Soil King or someone
[01:56:52.190 --> 01:56:52.670]  posted up.
[01:56:52.670 --> 01:56:55.150]  I was like, and they do look like so similar together.
[01:56:55.150 --> 01:56:57.310]  But I was like, no, that's Eddie Lipp.
[01:56:57.310 --> 01:56:59.230]  You need to know who this dude is.
[01:56:59.230 --> 01:57:00.750]  We're here because of him.
[01:57:00.750 --> 01:57:05.470]  And he was a little bit dismayed at, you know, spending all that time in jail and coming
[01:57:05.470 --> 01:57:12.510]  out and seeing how, you know, but he described the story about, you know, how, you know,
[01:57:12.510 --> 01:57:16.830]  if you could go behind that wall and you could have anything you wanted, what make this day
[01:57:16.830 --> 01:57:17.390]  better?
[01:57:17.390 --> 01:57:22.190]  And he was like, being in the huddle with Joe Namath, listening to the last plays, even
[01:57:22.190 --> 01:57:23.710]  though you know your favorite team was winning.
[01:57:24.430 --> 01:57:28.750]  So he equated himself like, I'm Joe Namath here in the room, and nobody knows who I am.
[01:57:28.750 --> 01:57:35.310]  He's like, unfortunately, if you say the hamper wears no clothes, people are not going to be
[01:57:35.310 --> 01:57:38.750]  like, oh, but if you say Jack Harer, they're going to be like, oh, that's that marijuana
[01:57:38.750 --> 01:57:39.390]  strain.
[01:57:39.390 --> 01:57:45.710]  They're not even going to know him as, you know, the emperor of hemp.
[01:57:45.710 --> 01:57:51.550]  And, you know, so it was great to talk to him and see him and hang out with him and
[01:57:51.550 --> 01:57:56.830]  just give him the love and respect that he really, really needed to get, you know, and
[01:57:56.830 --> 01:58:00.990]  not being recognized was kind of like, it was hard for him, I'm sure.
[01:58:01.070 --> 01:58:05.550]  So God rest him and all the people he's helped and all.
[01:58:05.550 --> 01:58:07.070]  He's been a champion for this plant.
[01:58:07.070 --> 01:58:07.310]  So.
[01:58:08.990 --> 01:58:09.310]  Huge.
[01:58:09.310 --> 01:58:09.950]  Yeah.
[01:58:09.950 --> 01:58:10.190]  Yeah.
[01:58:10.190 --> 01:58:12.430]  So I'm so I can't wait to hear that interview.
[01:58:13.230 --> 01:58:15.710]  That yeah, I can't we can't wait to get that out there.
[01:58:16.510 --> 01:58:19.630]  You know, a little bit jealous I never got to meet the person.
[01:58:20.190 --> 01:58:25.390]  But again, sitting and editing hours of audio into down, you listen to it a lot.
[01:58:25.390 --> 01:58:27.070]  So we can't lose this culture.
[01:58:27.070 --> 01:58:28.910]  You know, that's where I'm going with that.
[01:58:28.910 --> 01:58:29.390]  We can't.
[01:58:29.390 --> 01:58:30.350]  That's the point.
[01:58:30.350 --> 01:58:32.270]  Yeah, that was that was the point.
[01:58:32.270 --> 01:58:33.550]  I mean, that is.
[01:58:36.830 --> 01:58:38.590]  That's some dope history for sure.
[01:58:39.310 --> 01:58:40.110]  Yeah, yeah.
[01:58:41.470 --> 01:58:47.390]  So you guys, you guys, you know, it sounds like you met kind of at a competition, 2018
[01:58:47.390 --> 01:58:47.550]  ish.
[01:58:48.270 --> 01:58:52.750]  You guys got to see, you know, any lap, you got to hold up some trophies.
[01:58:52.750 --> 01:58:56.190]  So tell me what kind of events have you been to?
[01:58:56.190 --> 01:58:59.150]  Have they been primarily over on the East Coast?
[01:58:59.150 --> 01:59:01.710]  Are there ones that you like to do every year?
[01:59:02.910 --> 01:59:07.070]  Maybe tell us tell us about some of your contest experiences.
[01:59:10.350 --> 01:59:13.230]  You could go ahead and start, John, and I'll follow up right after.
[01:59:14.830 --> 01:59:16.430]  Oh, big screen.
[01:59:16.430 --> 01:59:18.030]  Now you got it all start.
[01:59:18.030 --> 01:59:21.550]  Well, I've I've entered the Harvest Cup many times, and it's a great platform.
[01:59:21.550 --> 01:59:23.150]  There's so many great cultivators.
[01:59:24.430 --> 01:59:26.750]  It's kind of the biggest thing that we have around here.
[01:59:27.230 --> 01:59:34.110]  And but then there's all these other great ones, the Commonwealth Campout with Commonwealth
[01:59:34.110 --> 01:59:37.710]  Cup, the Croptoberfest, which is run by the same people.
[01:59:38.510 --> 01:59:40.430]  Mike, shout out to Metal Mike.
[01:59:41.950 --> 01:59:49.790]  But, you know, we I didn't really know this existed until a friend was like, you got to
[01:59:49.790 --> 01:59:50.670]  enter your stuff.
[01:59:50.670 --> 01:59:52.110]  You know, the Harvest Cup is coming up.
[01:59:52.110 --> 01:59:53.710]  I was like, I'm just this guy.
[01:59:53.710 --> 01:59:55.870]  I'm not I'm not really into that.
[01:59:56.910 --> 01:59:59.550]  And, you know, and I was like, no, your stuff is awesome.
[01:59:59.550 --> 02:00:05.630]  So I never have one at the Harvest Cup, but it all started from that and met Chef Alex
[02:00:05.630 --> 02:00:06.270]  at that time.
[02:00:06.990 --> 02:00:09.070]  And, you know, we bonded.
[02:00:09.070 --> 02:00:15.470]  But then it was like, oh, the next year I did it again and I didn't win again.
[02:00:15.470 --> 02:00:17.710]  But I was really happy to.
[02:00:18.270 --> 02:00:23.550]  Oh, so I ended up finding out that there's the squash shop for Uncle Stoner.
[02:00:24.110 --> 02:00:26.910]  Shout out to Uncle Stoner Squash Shop, USA Squash Shop.
[02:00:27.550 --> 02:00:29.390]  And they're like, oh, you should try.
[02:00:29.390 --> 02:00:30.670]  You know, and I that's what I do.
[02:00:30.670 --> 02:00:31.310]  I do rosen.
[02:00:31.310 --> 02:00:33.230]  That's my specialty, the flower rosen.
[02:00:33.230 --> 02:00:38.270]  So I was like, oh, man, I got to get I know I have this medicine that squishes awesome.
[02:00:38.270 --> 02:00:40.750]  And but everybody didn't like the fuel.
[02:00:40.750 --> 02:00:42.110]  Some reason they wanted the fruit.
[02:00:42.110 --> 02:00:47.310]  And I have two pinots of this 818 headband that are just really marvelous medicine.
[02:00:47.870 --> 02:00:50.270]  And but I'm more about the gas.
[02:00:51.230 --> 02:00:54.030]  So I didn't win there, but I wasn't discouraged.
[02:00:54.030 --> 02:00:56.110]  And I'm like, I'm bringing everything next time.
[02:00:56.110 --> 02:01:00.270]  I'm bringing the fruit and the gas, you know, and the fruit one.
[02:01:00.270 --> 02:01:02.110]  So it's not my favorite medicine.
[02:01:02.110 --> 02:01:03.710]  It's my second go to.
[02:01:03.710 --> 02:01:06.030]  But I like, OK, I'm on the board.
[02:01:06.030 --> 02:01:09.950]  So last year, November, second place, finally won something.
[02:01:10.510 --> 02:01:16.510]  I tried to harvest cups, won second place at the at the Uncle Stoner Squash Shop.
[02:01:16.990 --> 02:01:22.030]  And, you know, there's a lot of great competitors.
[02:01:22.030 --> 02:01:24.030]  Christian Monarch, I want to give him a shout out.
[02:01:24.990 --> 02:01:28.990]  You know, he came in the one that I didn't win at the first one of the Freedom Rally.
[02:01:29.710 --> 02:01:32.110]  I didn't win that, but I wasn't discouraged.
[02:01:32.110 --> 02:01:36.750]  So at the Harvest Cup, Uncle Stoner had his own squash shop within the cup.
[02:01:36.750 --> 02:01:42.830]  So I was like a competitor in the cup, but also was like there to throw down for the squash shop.
[02:01:43.950 --> 02:01:45.230]  Came in second place there.
[02:01:45.950 --> 02:01:53.150]  Then that opportunity opened up for entering the Amsterdam for Mela the Dabadoo.
[02:01:53.790 --> 02:01:56.670]  And it was just after I met Swerve.
[02:01:56.670 --> 02:01:57.470]  Shout out to Swerve.
[02:01:57.470 --> 02:02:00.270]  I've been running his gear for nine years, going on nine years now.
[02:02:00.830 --> 02:02:04.910]  Those packs I got at Oakland Harborside Health.
[02:02:04.910 --> 02:02:10.270]  And so basically I met him and he was like, oh, mix them.
[02:02:10.270 --> 02:02:11.950]  I dabbed him out with the two different pinos.
[02:02:12.190 --> 02:02:17.390]  Here's like a proud foster parent bringing the to the breeder to the father.
[02:02:17.390 --> 02:02:19.150]  And he was like, oh, mix them.
[02:02:19.150 --> 02:02:21.070]  So this opportunity came up.
[02:02:21.070 --> 02:02:21.630]  I mixed them.
[02:02:21.630 --> 02:02:25.310]  I made flower rosin and I got third place at the Dabadoo.
[02:02:25.310 --> 02:02:26.430]  And that was like November.
[02:02:26.430 --> 02:02:28.110]  That was like December or January.
[02:02:28.110 --> 02:02:32.910]  So from November, then comes.
[02:02:35.070 --> 02:02:36.430]  Was it the squash shop again?
[02:02:36.430 --> 02:02:39.230]  Or was it Commonwealth Cup on 4?
[02:02:41.310 --> 02:02:42.270]  No, 420.
[02:02:43.150 --> 02:02:45.950]  I won first in place at the squash up in New York at Dr.
[02:02:45.950 --> 02:02:47.070]  Green's in New York.
[02:02:47.070 --> 02:02:47.870]  Shout out there.
[02:02:47.870 --> 02:02:49.550]  They're killing it over there.
[02:02:49.550 --> 02:02:53.310]  I met Brett Bogue and Uncle Stoner and the Stoner crew.
[02:02:53.310 --> 02:02:56.750]  And so I came in first and second there.
[02:02:58.270 --> 02:03:02.830]  And then I came in second at the Commonwealth, third at the Commonwealth Cup,
[02:03:03.390 --> 02:03:06.110]  second to another homie, high grade herb.
[02:03:06.350 --> 02:03:09.790]  To him, he's all organic ceremonial flowers.
[02:03:09.790 --> 02:03:10.830]  He's killing it.
[02:03:10.830 --> 02:03:16.990]  So it was really, really great to see someone that I know is doing it the way I do it up
[02:03:16.990 --> 02:03:18.670]  there on the podium above me.
[02:03:18.670 --> 02:03:24.510]  And it made me feel so proud to know this is the methodology that we're embracing here.
[02:03:24.510 --> 02:03:27.230]  But then I came in.
[02:03:31.070 --> 02:03:35.230]  Then there was this Freedom Cup at the latest Freedom Rally in Boston, which is the biggest
[02:03:35.230 --> 02:03:36.190]  sit-in of all.
[02:03:37.070 --> 02:03:40.110]  And Shuf got second place with his gummy.
[02:03:40.750 --> 02:03:44.750]  I got first place for home grow and first place for sativa because they asked me, what
[02:03:44.750 --> 02:03:46.270]  do you want to enter as a home grower?
[02:03:46.270 --> 02:03:46.990]  Or do you want?
[02:03:46.990 --> 02:03:50.190]  I was like, I'm putting my best up against the best.
[02:03:50.190 --> 02:03:54.350]  And I'm putting up my second best against the home growers because I want to cover all
[02:03:54.350 --> 02:03:55.150]  my bases here.
[02:03:55.790 --> 02:04:00.190]  That gave me the wonderful opportunity to get up on stage and to talk about what we're
[02:04:00.190 --> 02:04:01.470]  talking about today.
[02:04:01.470 --> 02:04:06.030]  That our food, the way, their methodology, the way we grew our food in this country,
[02:04:06.030 --> 02:04:10.430]  and we're poisoning ourselves with what we're eating and what it's available to us, whether
[02:04:10.430 --> 02:04:15.070]  or not we can afford to eat organically, it's still pretty much poison.
[02:04:15.070 --> 02:04:18.990]  Hate to say it, but so it's kind of this awareness.
[02:04:18.990 --> 02:04:24.510]  But I was able to get up there and kind of say, this is what we need to do to get healthier,
[02:04:24.510 --> 02:04:26.830]  longer lives is embrace growing.
[02:04:26.830 --> 02:04:28.750]  And you learn about what you do for this plant.
[02:04:29.390 --> 02:04:31.310]  And a lot of people have said this, but it's true.
[02:04:31.310 --> 02:04:35.470]  Like, so I was so thankful for that.
[02:04:35.470 --> 02:04:40.110]  And then I came in second at the Commonwealth Cup.
[02:04:40.990 --> 02:04:42.990]  First place came in Chris Shamanek.
[02:04:42.990 --> 02:04:43.950]  He's killing it.
[02:04:43.950 --> 02:04:45.150]  Great, great grower.
[02:04:46.030 --> 02:04:47.310]  Great guy, grew good people.
[02:04:47.950 --> 02:04:53.710]  And then I had six entries at the Harvest Cup.
[02:04:53.710 --> 02:04:58.030]  And this year it was divided into different terpene categories.
[02:04:59.150 --> 02:05:00.190]  There was no humulene.
[02:05:00.190 --> 02:05:01.070]  There was no humulene.
[02:05:01.070 --> 02:05:03.230]  So one whole category got dropped.
[02:05:03.230 --> 02:05:05.390]  So there's only five categories.
[02:05:06.110 --> 02:05:08.270]  I didn't play the show or win.
[02:05:08.270 --> 02:05:11.470]  Did they just toss it in the caryophyllene category?
[02:05:11.470 --> 02:05:16.270]  They're like, eh, you broke off, we'll put you back with the humulene?
[02:05:16.270 --> 02:05:16.990]  I'm not sure.
[02:05:18.350 --> 02:05:20.430]  But they were just like, there's no humulene entry.
[02:05:20.430 --> 02:05:22.670]  So there was only five.
[02:05:22.670 --> 02:05:25.150]  They were supposed to break it down to six major terpene.
[02:05:25.790 --> 02:05:30.670]  I mean, so anyway, did not come home with anything.
[02:05:30.670 --> 02:05:34.030]  But the chef came home with first for his CBD caramel.
[02:05:34.030 --> 02:05:35.390]  He made it CBD this time.
[02:05:36.190 --> 02:05:40.590]  And I still was able to pull off another win at the squash shop.
[02:05:41.230 --> 02:05:46.750]  First place with a cultivar I only had over the summer growing out in my tent outdoors
[02:05:46.750 --> 02:05:47.550]  under the sun.
[02:05:48.110 --> 02:05:54.590]  So it made me feel really good knowing that like that was recycled soil that I put into
[02:05:54.590 --> 02:06:01.390]  15 gallon containers that I grew in a small greenhouse outdoor under the sun in a lowly
[02:06:01.390 --> 02:06:02.030]  lit area.
[02:06:02.670 --> 02:06:08.590]  And it was chosen to be the winner, even though I still had my go to.
[02:06:09.550 --> 02:06:10.910]  I only was allowed two entries.
[02:06:10.910 --> 02:06:20.110]  I put my 818 headband, that fruit one they like, you know, and it was kind of vindicating
[02:06:20.110 --> 02:06:21.390]  to be like, you know what?
[02:06:21.390 --> 02:06:22.510]  I just won with something.
[02:06:22.510 --> 02:06:26.510]  I just grew outside in the garden that I put out there because it had thrips when it was
[02:06:26.510 --> 02:06:26.990]  given to me.
[02:06:30.190 --> 02:06:34.190]  So yeah, there's something to be said about the sun.
[02:06:34.190 --> 02:06:38.110]  So that being said, from November to November, nine awards.
[02:06:39.070 --> 02:06:40.110]  Very nice.
[02:06:40.110 --> 02:06:44.430]  Do you remember what some of the strains were that you won with?
[02:06:44.430 --> 02:06:47.150]  Now you had mentioned, you know, a swear kind of makes the two.
[02:06:47.790 --> 02:06:49.070]  It's my 818 headband.
[02:06:49.070 --> 02:06:54.350]  I've been entering this hollyweed because Kevin Jodery back in 2017 or 18 saying that was one
[02:06:54.350 --> 02:06:56.350]  of the strains to grow at the time.
[02:06:56.350 --> 02:06:59.070]  And it is a marvelous cultivar.
[02:06:59.630 --> 02:07:01.550]  Shout out to plant more seeds.
[02:07:01.550 --> 02:07:07.230]  Bodhi, you know, I know his seeds are grown with biointelligence.
[02:07:07.230 --> 02:07:08.590]  His seeds perform amazing.
[02:07:09.230 --> 02:07:12.990]  And I don't know, it's hard to choose which one to keep out of his packs, really.
[02:07:15.150 --> 02:07:17.710]  And that's just on a small scale.
