[00:00.000 --> 00:02.440]  your shows. Yeah.
[55:44.150 --> 55:49.030]  that area. And yeah, Cheddar Bob.
[55:51.430 --> 55:55.670]  Yeah. I'd like to welcome Sankofa to our conversation.
[55:57.670 --> 55:58.630]  Oh, we just lost him.
[55:59.590 --> 56:01.350]  Of course, that's how it always goes.
[56:03.350 --> 56:06.870]  It's part of these live streams. So I'm looking for questions
[56:06.870 --> 56:08.870]  over here. I'll interrupt again when I find it.
[56:09.830 --> 56:13.510]  Yeah. I mean, I've, I've grown. So the first land race that I
[56:13.510 --> 56:18.870]  grew was from Indian land race exchange, big up those guys. And
[56:18.870 --> 56:26.230]  it was the Wailing Valley and that's from India. So I guess
[56:26.390 --> 56:29.830]  that's probably the closest to Tibet that I've anything that
[56:29.830 --> 56:34.390]  I've ever grown. My experience with the Wailing Valley was
[56:34.390 --> 56:40.310]  that it was one very difficult to sprout the seeds, extremely
[56:40.310 --> 56:43.430]  difficult. So, I mean, I don't know, I guess I'll go on a
[56:43.430 --> 56:48.230]  little tangent for people who do want to sprout land race or
[56:48.230 --> 56:51.750]  wild genetics. The one thing I would really recommend is to
[56:51.750 --> 56:56.390]  get a seed cracker because the wild seeds have a much, often
[56:56.390 --> 57:01.110]  have a much tougher shell than the more domesticated stuff. I
[57:01.110 --> 57:04.550]  had to have a couple shipments of the seeds sent to me because,
[57:04.550 --> 57:06.710]  because they wouldn't pop. And I think they would have popped if
[57:06.710 --> 57:10.470]  I would have cracked them. Another thing that I noticed was
[57:10.470 --> 57:15.270]  that the plants very quickly acclimatized to my environment.
[57:15.830 --> 57:21.750]  Perhaps I was selecting incorrectly, but the plants
[57:21.750 --> 57:27.670]  definitely after the second or third generation had turned into
[57:27.670 --> 57:32.070]  something that was pretty different from what I had first
[57:32.070 --> 57:40.310]  popped. And it wasn't really what I was looking for. That
[57:40.310 --> 57:44.070]  being said, the structure was on point. The powder mildew
[57:44.070 --> 57:48.550]  resistance was on point. The plants did not need that much
[57:48.550 --> 57:53.270]  water, which was really huge. And what I noticed was that the
[57:53.270 --> 57:59.110]  Wailing Valley males were quite passive with their breeding. So
[57:59.110 --> 58:01.750]  when you would breed with them, you would usually get whatever
[58:02.310 --> 58:08.470]  the female was. So that's as close as I've grown to anything
[58:08.870 --> 58:11.830]  from the Tibetan region was an Indian.
[58:11.830 --> 58:16.150]  Yeah, that's true. A lot of folks that think they want them
[58:16.150 --> 58:18.550]  until they get them and then they understand, it's like,
[58:18.550 --> 58:23.750]  whoa, this is not what I expected.
[58:24.790 --> 58:30.550]  And you know, they're also not, they're not evolved to grow in
[58:30.550 --> 58:35.510]  these environments very often. These plants have evolved to grow
[58:35.590 --> 58:40.630]  into specific environments. And when you bring a plant that's,
[58:41.750 --> 58:45.670]  what is it, longitudinally different from where you're
[58:45.670 --> 58:48.790]  growing it outdoors, it's different. It has a different
[58:48.790 --> 58:54.310]  humidity level, has just different pests and pathogens.
[58:58.230 --> 59:00.950]  Even the spectrum of the light that you get over here is
[59:00.950 --> 59:02.070]  different than the equator.
[59:02.230 --> 59:08.550]  Yeah, most definitely. I mean, that was kind of like when you
[59:08.550 --> 59:13.590]  were explaining these genetics that were from South Africa and
[59:13.590 --> 59:17.190]  then explaining how far South Africa was from the equator,
[59:17.190 --> 59:23.510]  then it starts to make more sense why these strains do do
[59:23.510 --> 59:28.230]  better over, do do well over here. And they are a little bit
[59:28.230 --> 59:31.990]  more workable than the stuff that is closer to the equator,
[59:32.790 --> 59:34.150]  where they can be more workable.
[59:36.310 --> 59:38.950]  Well, man, I really wish that we could get St. Kofa on. He,
[59:39.510 --> 59:42.470]  you know, I love his feed. It's super interesting. I wonder what
[59:42.470 --> 59:43.030]  happened with him.
[59:43.590 --> 59:47.830]  Uncle Kofa is my virgin. You know, he worked with a lot of my
[59:47.830 --> 59:51.110]  lines and stuff. He's a cool guy.
[59:51.830 --> 59:54.870]  You know anything about the Columbian? I heard a lot about
[59:54.870 --> 59:57.670]  that Columbian from my mentors. That's what they were searching
[59:57.670 --> 01:00:00.870]  for in Neville's hazes is that old Columbian that they used to
[01:00:00.870 --> 01:00:04.710]  get before. I also heard that that Columbian was grown
[01:00:04.710 --> 01:00:08.310]  perennially, like they would just top chop the top off of it
[01:00:08.310 --> 01:00:11.750]  and let it kind of regrow and revege. And that's how it was so
[01:00:11.750 --> 01:00:15.030]  consistently good for a while and made that gold. That's in
[01:00:15.030 --> 01:00:17.430]  one of the old high times that I have is them talking about
[01:00:17.670 --> 01:00:18.230]  that guy.
[01:00:19.510 --> 01:00:22.950]  Actually, I can speak on that from my personal experience.
[01:00:22.950 --> 01:00:29.750]  This year I grew a Burmese and it is still alive now. So that
[01:00:29.750 --> 01:00:32.950]  plant has been outside throughout the whole winter. I
[01:00:32.950 --> 01:00:36.230]  think if I had it in the greenhouse, it would do be doing
[01:00:36.230 --> 01:00:40.230]  better, but it's still flowering. It's still growing.
[01:00:40.230 --> 01:00:43.190]  It's still growing. It's still growing. It's still growing.
[01:00:43.430 --> 01:00:48.230]  It would do be doing better, but it's still flowering. It
[01:00:48.230 --> 01:00:52.790]  started flowering, I think in October or November or so.
[01:00:54.950 --> 01:00:58.870]  So yeah, I mean, I guess in May, so two more months from now,
[01:00:58.870 --> 01:01:01.990]  if I can keep it alive, it will start reveging. And I guess
[01:01:01.990 --> 01:01:04.310]  that would be considered a perennial cannabis plant. I
[01:01:04.310 --> 01:01:09.030]  honestly didn't believe that those existed, but you know, I
[01:01:09.030 --> 01:01:11.910]  guess with those extreme sativas, you know, they just
[01:01:11.910 --> 01:01:14.710]  keep flowering. And to me, the most interesting part was like,
[01:01:16.230 --> 01:01:19.190]  if you have an indica plant or let's say like a common hybrid,
[01:01:19.190 --> 01:01:22.950]  you put it outside, it starts flowering. It's pretty much
[01:01:22.950 --> 01:01:27.190]  finished. If you let it go after a certain point, it just
[01:01:27.190 --> 01:01:30.870]  kind of starts to like rot and like die and just kind of like
[01:01:30.870 --> 01:01:34.550]  cannibalize itself. But for some reason with these extreme
[01:01:34.550 --> 01:01:38.630]  sativas, it doesn't do that. They just keep flowering. They
[01:01:38.630 --> 01:01:42.470]  just keep, keep flowering. Do you have any experience with
[01:01:42.470 --> 01:01:43.830]  that grasshopper? Have you noticed that?
[01:01:43.830 --> 01:01:50.070]  Man, I know them to be annuals. I have no experience with trying
[01:01:50.070 --> 01:01:55.190]  to make them into perennials. But you know, my experience as
[01:01:55.190 --> 01:02:00.470]  far as Colombian goes, I used to float up on the beach and
[01:02:00.470 --> 01:02:05.910]  fish on kegs, you know, with everything else that comes from
[01:02:05.910 --> 01:02:10.070]  Colombia, you know. You know, you would wake up in the
[01:02:10.070 --> 01:02:12.870]  morning and go to the beach and you would think like
[01:02:13.590 --> 01:02:18.310]  asparagnum or some kind of sea moss or something on the beach
[01:02:18.310 --> 01:02:23.270]  is all kind of it. Like the beach is laden with it as far
[01:02:23.270 --> 01:02:26.710]  as your eyes can see. You would think that it's seagrass or
[01:02:26.710 --> 01:02:30.470]  something. And then every now and then you would find like
[01:02:30.470 --> 01:02:34.230]  one of those packages that didn't really get torn up, tore
[01:02:34.230 --> 01:02:37.430]  up by the reeds or something. And then we would get some
[01:02:37.430 --> 01:02:41.590]  seeds out of those. And then we would grow those. And those
[01:02:41.590 --> 01:02:49.190]  were amazing, really great plants. Very sativa. The
[01:02:49.190 --> 01:02:53.750]  Colombians, because Colombia sits more in the equator, kind
[01:02:53.750 --> 01:03:00.470]  of tends to be longer flowering plants. And as far as them,
[01:03:00.630 --> 01:03:09.830]  you know, being a perennial is, I'm not sure after, say for
[01:03:09.830 --> 01:03:13.430]  instance, harvest your bud, how long the vegging your plant is
[01:03:13.430 --> 01:03:16.390]  going to do. Because on the equator, you know, the
[01:03:16.390 --> 01:03:20.470]  photo-periodism and the time losses is about two to ten
[01:03:20.470 --> 01:03:23.510]  minutes depending on where you're at. And then you come up
[01:03:23.510 --> 01:03:26.470]  into Central America, you're looking at two hours, Mexico
[01:03:26.470 --> 01:03:29.910]  three hours, the United States, you know, you're looking at
[01:03:29.910 --> 01:03:34.870]  the United States on the point at this huge swing of daylight
[01:03:34.870 --> 01:03:42.390]  period. Where down there, I'm not sure that would be, I mean,
[01:03:42.390 --> 01:03:46.950]  it's not common practice. It's really not common practice. So
[01:03:46.950 --> 01:03:50.230]  I wasn't, I wouldn't see it being very lucrative if it's not
[01:03:50.230 --> 01:03:53.750]  a common practice. You know, why is it these farmers in
[01:03:53.750 --> 01:03:57.270]  Colombia, Central America and South America, they, you know,
[01:03:57.270 --> 01:04:02.230]  they sow seeds every year during the rainy season, you
[01:04:02.230 --> 01:04:07.030]  know, and then harvest in the dry season. As far as the clock
[01:04:07.030 --> 01:04:10.630]  swinging back like it does over here, like if you harvest a
[01:04:10.630 --> 01:04:14.710]  plant in the late fall and then you kind of, we go down to
[01:04:14.710 --> 01:04:19.510]  about ten hours of daylight and that plant stays into veg, you
[01:04:19.510 --> 01:04:23.590]  know. And then when you get back into spring, May, April, May,
[01:04:23.590 --> 01:04:26.630]  then you jump above 14 hours and then that plant start to
[01:04:26.630 --> 01:04:34.150]  re-veg again. So that's usually the issues with the plants that
[01:04:34.150 --> 01:04:37.350]  are down there, the photoperiodism and the amount of
[01:04:37.350 --> 01:04:41.110]  light that they need to trigger into flower is different than
[01:04:41.110 --> 01:04:43.590]  as soon as you start moving away from the equator, it gets
[01:04:43.590 --> 01:04:47.030]  different as far as the amount of light that they need to go
[01:04:47.030 --> 01:04:51.990]  into flower. Yes, yes. That's exactly what they were
[01:04:51.990 --> 01:04:55.830]  describing is that they had, this was done in Colombia and
[01:04:55.830 --> 01:04:58.310]  it seemed like that they were doing it for consistency
[01:04:58.310 --> 01:05:02.150]  purposes. So they didn't have to keep going through and picking
[01:05:02.150 --> 01:05:05.830]  out through seeds like removing males and it was kind of like a
[01:05:05.830 --> 01:05:08.790]  laziness kind of thing. After you've been doing it for so many
[01:05:08.790 --> 01:05:12.150]  years, farmers kind of find ways to cut corners. I could see
[01:05:12.150 --> 01:05:14.950]  what you're saying about how it's probably not the best
[01:05:14.950 --> 01:05:18.870]  practice, but you know, I've never lived near the equator
[01:05:18.870 --> 01:05:22.790]  like that. So who knows how well that would, you seem like
[01:05:22.790 --> 01:05:25.750]  you're a lot closer to that kind of thing than I'll ever be.
[01:05:25.750 --> 01:05:28.950]  So that's really cool hearing your perspective on that old
[01:05:28.950 --> 01:05:32.630]  article they were talking about. So, yeah. I mean, from my
[01:05:32.630 --> 01:05:36.310]  experience with the natives, the natives, like, you know,
[01:05:37.750 --> 01:05:40.710]  you know, nobody really talks about the Maya people and their
[01:05:40.710 --> 01:05:44.790]  history with cannabis, but it's deep, you know, all of these
[01:05:44.790 --> 01:05:49.990]  Maya folks and most of the native folks throughout the
[01:05:49.990 --> 01:05:53.590]  whole world kind of use the plant. I mean, you look at the
[01:05:53.590 --> 01:05:56.070]  Hadza people in Africa right now, they're still living off
[01:05:56.070 --> 01:05:59.510]  the land, still, you know, hunter-gatherers and finding
[01:05:59.510 --> 01:06:02.630]  wild cannabis and they gather and smoke because it makes
[01:06:02.630 --> 01:06:05.910]  their whole hunting skills sharpen and all this stuff. So,
[01:06:06.630 --> 01:06:09.830]  you know, and like the Maya folks, you know, and a lot of
[01:06:09.830 --> 01:06:15.670]  the native people, I mean, that's where my first, you know,
[01:06:15.670 --> 01:06:18.630]  introduction to the whole plant came about was through the
[01:06:18.630 --> 01:06:22.150]  natives. I mean, you know, those were the people who seemed to
[01:06:22.150 --> 01:06:25.910]  had it around, all the people who came and who were brought
[01:06:27.190 --> 01:06:29.990]  didn't bring shit with them, but you know what I'm saying?
[01:06:30.950 --> 01:06:33.590]  They didn't have a lot of corn and tomatoes, but, you know,
[01:06:33.590 --> 01:06:36.230]  most of the plants, you know, it seems like it's the native
[01:06:36.230 --> 01:06:41.670]  people that really held on to it. And, you know, from, you
[01:06:41.670 --> 01:06:46.230]  know, they would go in, go into the jungle, cut what we
[01:06:46.230 --> 01:06:51.910]  refer to as an acre and then let it dry. You go back and
[01:06:51.910 --> 01:06:56.870]  you burn it, light it on fire before the rain and burn it.
[01:06:56.870 --> 01:06:59.910]  And after it burns and then the rain comes down and then the
[01:06:59.910 --> 01:07:03.830]  next year, at the beginning of the next rainy season, that's
[01:07:03.830 --> 01:07:07.590]  when you go back over there with a bag full of seeds, maybe
[01:07:09.110 --> 01:07:13.270]  a half a seed in a bag and a stick and you just walk in one
[01:07:13.270 --> 01:07:17.430]  step, put a hole, poke a hole in the ground, drop three seeds
[01:07:17.430 --> 01:07:20.390]  and you walk an entire line across and across and across
[01:07:20.470 --> 01:07:23.270]  that acre. And when it starts raining, that shit starts
[01:07:23.270 --> 01:07:28.150]  coming up like, you know, the whole ground is just this lime
[01:07:28.150 --> 01:07:33.190]  green cover with all the inclusive plants. And the rainy
[01:07:33.190 --> 01:07:36.470]  season kind of beat down some, the strong ones survive. And
[01:07:37.190 --> 01:07:40.950]  after that, you know, you're going through and selecting
[01:07:40.950 --> 01:07:44.390]  males, pulling out all your males, pulling out your males
[01:07:44.390 --> 01:07:50.070]  as they're growing into flower. And, you know, by the time the
[01:07:50.070 --> 01:07:52.870]  middle of flower is coming around, it's coming into the
[01:07:52.870 --> 01:07:55.670]  dry season. So that's when you got to start hauling water from
[01:07:55.670 --> 01:07:59.670]  the river on your head all day from sunrise to sunset, just
[01:07:59.670 --> 01:08:03.750]  hauling water, hauling water. So that's been kind of my
[01:08:03.750 --> 01:08:06.070]  experience. And then it would be a harvest and you would do
[01:08:06.070 --> 01:08:09.110]  that twice a year because, you know, down there, it's not a
[01:08:09.670 --> 01:08:13.430]  autumn and fall and winter and spring. It's, you know, it's
[01:08:13.430 --> 01:08:17.110]  wet and dry, you know, and you have too wet and too dry for
[01:08:17.670 --> 01:08:21.430]  the year. So, you know, you're planting every wet and you're
[01:08:21.430 --> 01:08:24.870]  harvesting the dry. And the better ones is usually the ones
[01:08:24.870 --> 01:08:31.110]  you plant in June, July and harvesting what we call
[01:08:31.110 --> 01:08:32.630]  Christmas buds.
[01:08:34.630 --> 01:08:39.350]  So you had told me your story before and I found it super
[01:08:39.350 --> 01:08:47.030]  fascinating. My question was like, was the way that, in like
[01:08:47.030 --> 01:08:50.470]  the Caribbean or, you know, tropics where you're from, do
[01:08:50.470 --> 01:08:55.510]  people grow cannabis and their regular vegetables in the same
[01:08:55.510 --> 01:08:58.390]  fashion or is this more specific just to cannabis?
[01:08:59.110 --> 01:09:03.270]  No, we are in the same way for vegetables. I mean, most people
[01:09:03.270 --> 01:09:07.990]  have their little garden and stuff and, you know, it is kind
[01:09:07.990 --> 01:09:11.590]  of grown the same way, you know, it's kind of let nature take
[01:09:11.590 --> 01:09:12.070]  its course.
[01:09:13.030 --> 01:09:17.590]  So there's two seasons as well for like your other vegetables
[01:09:17.590 --> 01:09:18.470]  that you'd be planting.
[01:09:20.870 --> 01:09:25.350]  With those places, it's, you know, people are not all hooked
[01:09:25.350 --> 01:09:27.830]  on the well and where they are, but, you know, these things
[01:09:27.830 --> 01:09:32.470]  cost money. Well and pumps and generators, the hot water across
[01:09:32.470 --> 01:09:36.150]  a few acres is just not there. So people kind of go with
[01:09:36.150 --> 01:09:39.750]  nature, you know, this is the time for planting because now,
[01:09:39.910 --> 01:09:43.510]  you know, the heavens is showering the earth. So here we
[01:09:43.510 --> 01:09:47.590]  go, planting season. You know what I mean? If you, you know,
[01:09:47.590 --> 01:09:50.710]  all year around you can plant, but you got to have water, you
[01:09:50.710 --> 01:09:54.230]  know, so, you know, we think of it within the concepts of the
[01:09:54.230 --> 01:09:56.950]  confines of the United States where there's so much
[01:09:56.950 --> 01:09:59.670]  accessibility to so much different technology and
[01:09:59.670 --> 01:10:03.190]  different equipment and people kind of have to afford those
[01:10:03.190 --> 01:10:05.750]  things. But down there, people depend on the heavens, man, for
[01:10:05.750 --> 01:10:06.390]  their blessings.
[01:10:06.950 --> 01:10:11.830]  Right, right. And like, do people even use fertilizer? I
[01:10:11.830 --> 01:10:14.630]  mean, my understanding is people would use like chicken a
[01:10:14.630 --> 01:10:17.750]  little bit, but like, is fertilizer even used in the
[01:10:17.750 --> 01:10:18.470]  tropics?
[01:10:18.470 --> 01:10:21.190]  I mean, that's about it. That's about it. Most of the stuff
[01:10:21.190 --> 01:10:23.830]  don't get fertilized unless you're dealing with conventional
[01:10:23.830 --> 01:10:26.630]  type farming where you're doing oranges and bananas and stuff.
[01:10:26.630 --> 01:10:31.750]  Those are getting, you know, pesticides and fungicides and
[01:10:31.750 --> 01:10:34.550]  fertilizer and everything that was conventional. But, you
[01:10:34.710 --> 01:10:37.910]  know, normally, you know, people don't fertilize. I mean,
[01:10:37.910 --> 01:10:41.590]  you have some chicken poop, you know, and rabbits here and
[01:10:41.590 --> 01:10:45.110]  there and stuff, but people normally don't fertilize. The
[01:10:45.110 --> 01:10:51.270]  soil is rich and, you know, and the microbiology of the earth
[01:10:51.270 --> 01:10:55.190]  kind of does the thing. I mean, you know, the lightning comes,
[01:10:55.190 --> 01:10:58.230]  it's tropical. There's a lot of thunderstorms every now and
[01:10:58.230 --> 01:11:01.030]  then, raining for a couple of minutes and then sunshine in an
[01:11:01.110 --> 01:11:05.750]  hour and it's hot and, you know, and, you know, that's kind of
[01:11:05.750 --> 01:11:10.950]  like how the plant, they extract all of this stuff from the air,
[01:11:10.950 --> 01:11:14.310]  the carbon, the nitrogen, all the different components and
[01:11:14.310 --> 01:11:18.870]  elements that is suspended in the air. The rain comes, the
[01:11:18.870 --> 01:11:22.710]  lightning strikes, it gives them an electric charge and it
[01:11:22.710 --> 01:11:26.950]  fuses water molecule to the carbon molecule and the nitrogen
[01:11:26.950 --> 01:11:30.230]  molecule and it rains it back down to the plant. And in that
[01:11:30.230 --> 01:11:32.950]  source and in that way, it's immediately available to be
[01:11:32.950 --> 01:11:37.750]  uptaken by the plant. So, there's, you know, nitrogen is
[01:11:37.750 --> 01:11:41.190]  something like 60% of the year we breed or some shit like that.
[01:11:41.190 --> 01:11:45.030]  There's some high number, you know, and the plant also have a
[01:11:45.030 --> 01:11:48.230]  way through rainfall, through lightning, through vapors, through
[01:11:48.230 --> 01:11:52.550]  ionization and raining back down to the plant and the earth and
[01:11:52.550 --> 01:11:56.790]  becomes available fertilizer in that sense. And also, you have
[01:11:56.870 --> 01:11:59.910]  the biome of the earth breaking down all the organic material
[01:11:59.910 --> 01:12:03.750]  and kind of like making that into available plant food. It's
[01:12:03.750 --> 01:12:07.190]  an amazing thing. I mean, that's why I think the tropics are so
[01:12:07.190 --> 01:12:11.030]  green because of these lightning charges and electrons. And, you
[01:12:11.030 --> 01:12:14.310]  know, if you go to a place where it's like, yeah, it's not so
[01:12:14.310 --> 01:12:17.750]  much rain, but yeah, rain and water is good for plants. But
[01:12:17.750 --> 01:12:21.510]  also, you know, the rain and the lightning and stuff makes
[01:12:21.510 --> 01:12:24.470]  things fuse together in the air and come to the earth and the
[01:12:24.470 --> 01:12:28.310]  plant can take on a different element. So, nature takes care
[01:12:28.310 --> 01:12:34.550]  of itself for the most part. When we do our home gardening
[01:12:34.550 --> 01:12:38.950]  and stuff, we never do fertilizer. It's just not even
[01:12:38.950 --> 01:12:43.590]  chicken poop. I mean, my son, now he's into making fertilizers
[01:12:43.590 --> 01:12:48.310]  and making stuff like that because the plant, they move a
[01:12:48.310 --> 01:12:51.510]  little bit better. Things do a little bit better if you add a
[01:12:51.510 --> 01:12:54.790]  little bit of things to them. They move a little bit faster.
[01:12:54.790 --> 01:12:57.190]  They look a little bit healthier. But for the most part,
[01:12:57.190 --> 01:13:01.590]  nature takes care of it. Do you find that there's a difference
[01:13:01.590 --> 01:13:08.150]  in flavor? As far as? As far as like with, let's say, like
[01:13:08.150 --> 01:13:11.830]  outdoor cannabis here as opposed to like where you're
[01:13:11.830 --> 01:13:18.470]  from, like with the much less inputs. I mean, as far as
[01:13:18.470 --> 01:13:23.190]  flavor, yeah, I mean, there's differences. I mean, there's a
[01:13:23.190 --> 01:13:27.350]  tackiness to it that you don't see here. A lot of stuff after
[01:13:27.350 --> 01:13:31.830]  it dries, it turns into powder. But down there after it dries,
[01:13:31.830 --> 01:13:37.990]  it gets even more gooey and kind of sticky. It kind of takes
[01:13:37.990 --> 01:13:42.150]  out the water. I mean, the trichromes on them, if you have
[01:13:42.150 --> 01:13:51.670]  a properly grown trichrome, like for instance, you can have it out and it gets crispy, but if you grab it and squeeze it together, it comes
[01:13:51.670 --> 01:13:55.350]  up back out together. Those were the difference that I
[01:13:55.350 --> 01:13:58.950]  noticed. They're not dry.
[01:14:01.430 --> 01:14:07.590]  You're cutting out a little bit, but Sancofa is back.
[01:14:07.590 --> 01:14:13.750]  Yes, Sancofa is back. How you doing? I'm good guys. How's everybody doing?
[01:14:13.750 --> 01:14:16.870]  We're well, man. We're having a great conversation.
[01:14:16.870 --> 01:14:22.950]  Glad that you could join us. Yes, yes, yes. Give thanks.
[01:14:23.270 --> 01:14:27.910]  So where was I there? So yeah, you were talking about
[01:14:27.910 --> 01:14:34.070]  growing in the tropics. I mean, I guess, you know, like my main
[01:14:34.070 --> 01:14:38.150]  question was, I know for here, people who grow
[01:14:38.150 --> 01:14:41.830]  cannabis have very specific things that they use for their plants
[01:14:41.830 --> 01:14:45.110]  that they commonly don't use for the rest of their plants.
[01:14:45.110 --> 01:14:50.470]  I try to treat my whole garden the same, so whether it's my tomatoes, my cannabis,
[01:14:50.470 --> 01:14:53.590]  my blueberries, try to give them all a similar amount of
[01:14:53.590 --> 01:14:58.390]  love. And I assume that in the tropics, the same way that people who grew
[01:14:58.390 --> 01:15:01.270]  cannabis is how they grew the rest of their
[01:15:01.270 --> 01:15:04.710]  food, because it is, you know, it is just a plant.
[01:15:04.710 --> 01:15:07.990]  So that was, you know, something I was really curious.
[01:15:07.990 --> 01:15:15.350]  I learned about fertilizer when I got here 20, 30 years ago.
[01:15:15.350 --> 01:15:19.750]  Yeah, fertilizer, okay. Because, you know,
[01:15:19.750 --> 01:15:23.110]  that if people would have six, seven, eight hundred plants on a
[01:15:23.110 --> 01:15:28.390]  inside, green from start to finish, not an issue.
[01:15:28.390 --> 01:15:33.750]  You know, I mean, you're hiking six, seven hours into the
[01:15:33.750 --> 01:15:37.910]  mountains to get there. You're not taking fertilizer,
[01:15:37.910 --> 01:15:41.110]  you're taking a pound of rice.
[01:15:43.030 --> 01:15:49.190]  You know what I'm saying? So yeah, please go ahead.
[01:15:49.270 --> 01:15:52.790]  So yeah, Sankofa, I'd love for you to jump in.
[01:15:52.790 --> 01:15:57.670]  Yeah, I think in reference to the tropics,
[01:15:57.670 --> 01:16:03.670]  you know, the soil is so rich. And, you know, just because of all the
[01:16:03.670 --> 01:16:09.030]  rainfall and the lushness and leaves falling and just the natural compost,
[01:16:09.030 --> 01:16:13.110]  you know, process happening, you really don't need to fertilize.
[01:16:13.110 --> 01:16:18.550]  Like Grasshopper said, you know, just rain and everything is green and
[01:16:18.550 --> 01:16:24.070]  healthy from start to finish. So it's really, it's way more of a
[01:16:24.790 --> 01:16:29.190]  not simple, but it's straightforward. Whereas out here,
[01:16:29.190 --> 01:16:34.710]  people are, you know, they have a recipe, they have a mix, different things that
[01:16:34.710 --> 01:16:38.150]  they, you know, utilize to give the plant
[01:16:38.150 --> 01:16:43.910]  certain nutrients and macro and micro. And I'm not an expert in all that, but
[01:16:43.910 --> 01:16:47.030]  overall, I really think organic is the best process.
[01:16:47.990 --> 01:16:55.270]  You know, using some seaweeds and some fermented plant juice and things
[01:16:55.270 --> 01:16:58.150]  like that, you know, kind of basic, some dry
[01:16:58.150 --> 01:17:02.070]  amendments, you know, used to use guano and stuff, but
[01:17:02.070 --> 01:17:06.550]  it's not really the most, the best fertilizer as far as like for the
[01:17:06.550 --> 01:17:09.670]  environment. So, you know, it's a lot of dry ferts like
[01:17:09.670 --> 01:17:14.310]  BioLive. I forget the name of the company, but
[01:17:14.310 --> 01:17:17.510]  BioLive is a great kind of all-purpose one.
[01:17:17.510 --> 01:17:21.590]  And yeah, man, just keep it as simple as possible
[01:17:21.590 --> 01:17:25.190]  as far as like feeding the plants, just because,
[01:17:25.190 --> 01:17:29.030]  you know, we're going to consume the plant too. So we don't want to put in a
[01:17:29.030 --> 01:17:32.310]  bunch of like stuff that we wouldn't want to consume
[01:17:32.310 --> 01:17:35.990]  otherwise. And that's just my perception on the
[01:17:35.990 --> 01:17:41.510]  whole thing, you know what I mean? I completely concur with you. BioLive
[01:17:41.510 --> 01:17:45.190]  is from down to earth and I've used that for
[01:17:45.190 --> 01:17:50.790]  20 years. I mean, it works for, it works really well. I used to work at
[01:17:50.790 --> 01:17:53.510]  a hydro store and actually some people would use BioLive
[01:17:53.510 --> 01:17:58.150]  only for their whole garden. And people often said they couldn't really tell the
[01:17:58.150 --> 01:18:01.430]  difference between that and if they used, you know, BioLive and a bloom
[01:18:01.430 --> 01:18:05.990]  enhancer. Yeah, I love BioLive. I would
[01:18:05.990 --> 01:18:09.750]  recommend it to anybody for everything in their garden. It's an
[01:18:09.750 --> 01:18:12.470]  amazing product. And what's so cool about it is that there's microalgal
[01:18:12.470 --> 01:18:18.390]  fungi in the product. So like it helps, you know, break stuff down.
[01:18:18.390 --> 01:18:23.750]  That's really cool that I kind of figured out who Grasshopper was
[01:18:23.750 --> 01:18:27.910]  through meeting, kind of meeting you on Instagram, Sankofa,
[01:18:27.910 --> 01:18:32.310]  you know, and checking out the gear. And honestly, you were the first person I'd
[01:18:32.310 --> 01:18:35.030]  seen that was working with African
[01:18:35.030 --> 01:18:39.910]  genetics, you know, pushing it forward. It was
[01:18:39.910 --> 01:18:44.150]  really inspiring to me because like similar to food, people
[01:18:44.150 --> 01:18:47.750]  connect to their culture and other cultures, you know, through food. And I
[01:18:47.750 --> 01:18:51.110]  figured how, you know, same thing for cannabis.
[01:18:51.110 --> 01:18:54.550]  And, you know, as a person who is African American,
[01:18:54.550 --> 01:18:59.270]  it just really inspired me to see other people who were growing African genetics
[01:18:59.270 --> 01:19:01.430]  and, you know, talking about these things. And
[01:19:01.430 --> 01:19:04.710]  it's really humbling because, you know, when
[01:19:04.710 --> 01:19:08.150]  you hear somebody talk about a strain from a specific area,
[01:19:08.150 --> 01:19:11.030]  and you don't know anything about it, the first thing you want to do is kind of
[01:19:11.030 --> 01:19:13.430]  look where this, where is this on the map, you know, what's up with these
[01:19:13.430 --> 01:19:17.590]  different people? Look at all these things. And, you know,
[01:19:17.590 --> 01:19:22.150]  we're really lucky in that at this point in time, we do have access to
[01:19:22.150 --> 01:19:26.230]  all this stuff. You can kind of find whatever on the internet if you look.
[01:19:26.230 --> 01:19:32.790]  So yeah, like from Sankofa last year I grew was a sour
[01:19:32.790 --> 01:19:39.190]  by, what was that? Angola, which do you recall which one that
[01:19:39.190 --> 01:19:42.150]  was? Which one, which one was that? Was it the African
[01:19:42.150 --> 01:19:49.190]  sour haze? Or which one was it? It was, it was, I think it was African sour
[01:19:49.190 --> 01:19:53.270]  by, it was like Angola Durban
[01:19:53.270 --> 01:20:02.370]  male. The Angola, the Angola Columbian? Gosh, I'm a little embarrassed that I'm
[01:20:02.370 --> 01:20:07.170]  forgetting right now, but it's all good. But yeah, I mean it was,
[01:20:07.170 --> 01:20:10.770]  what I thought was really unique about it was it had
[01:20:10.770 --> 01:20:14.690]  mad vigor to the point of where I had to cut the plant back
[01:20:14.690 --> 01:20:18.130]  so that it would stay equal to my other plants.
[01:20:18.130 --> 01:20:24.610]  Never had that before. And the buds, you know, came out, grew like sour, grew
[01:20:24.610 --> 01:20:28.210]  nice and big, but they had like another little thing
[01:20:28.210 --> 01:20:31.010]  on the end of it, you know, that was like a little bit of
