[00:00.000 --> 00:01.340]  I did, I did.
[01:07:11.510 --> 01:07:13.550]  Take one plant, do a side by side.
[01:07:13.550 --> 01:07:14.710]  Yeah, see what happens.
[01:07:14.710 --> 01:07:17.230]  Right, I don't think people do this enough.
[01:07:17.230 --> 01:07:20.790]  I mean, you should always be doing some kind of experiment.
[01:07:20.790 --> 01:07:23.070]  Just to up your game, if nothing else.
[01:07:23.070 --> 01:07:25.470]  I mean, don't ever stop learning.
[01:07:25.470 --> 01:07:27.750]  I mean, I get up and read frigging two hours
[01:07:27.750 --> 01:07:29.190]  of science papers every day.
[01:07:30.390 --> 01:07:32.310]  Because I'm not only curious,
[01:07:32.310 --> 01:07:35.070]  but I like to put pieces together.
[01:07:35.070 --> 01:07:38.630]  So by doing that, I might read this paper a month ago,
[01:07:38.630 --> 01:07:41.550]  and one today, and all of a sudden I connect the dots.
[01:07:41.550 --> 01:07:44.630]  I'm like, oh, wow, that's interesting.
[01:07:44.630 --> 01:07:46.870]  So if you're not doing one little pot
[01:07:46.870 --> 01:07:51.110]  or one little bed separately to just learn tricks
[01:07:51.110 --> 01:07:55.150]  and techniques, then you're not learning anymore.
[01:07:55.830 --> 01:07:56.670]  You've stagnated.
[01:07:56.670 --> 01:07:59.190]  And we all know what happens when you hit the plateau, man.
[01:07:59.190 --> 01:08:01.270]  It's a slippery slope after, man.
[01:08:02.190 --> 01:08:04.310]  Yeah, you're selling mid-packs to your homies
[01:08:04.310 --> 01:08:06.030]  and then they don't come around no more.
[01:08:06.030 --> 01:08:06.870]  Right.
[01:08:08.350 --> 01:08:10.470]  So yeah, so definitely, Andrew,
[01:08:10.470 --> 01:08:13.310]  pull one of the plants aside and pound it
[01:08:13.310 --> 01:08:16.030]  all the way through and see what happens.
[01:08:16.030 --> 01:08:17.030]  Yeah, absolutely.
[01:08:17.030 --> 01:08:19.110]  Yeah, I'll sit on it.
[01:08:21.430 --> 01:08:23.830]  All right, did you guys see this question?
[01:08:27.230 --> 01:08:30.350]  It's the year of, what is it, every 17 years?
[01:08:31.270 --> 01:08:32.110]  Is it really?
[01:08:32.110 --> 01:08:33.470]  I thought it was every seven.
[01:08:33.470 --> 01:08:34.310]  Seven?
[01:08:35.550 --> 01:08:37.870]  I would say absolutely you could do that.
[01:08:37.870 --> 01:08:42.590]  So you take the bugs, it's gonna stink like hell, dude.
[01:08:42.590 --> 01:08:44.230]  Kill them all, squeeze them,
[01:08:44.230 --> 01:08:47.430]  get all of the juices you can out of them
[01:08:47.430 --> 01:08:49.550]  and create a foliar spray.
[01:08:49.550 --> 01:08:50.390]  And you're very-
[01:08:50.390 --> 01:08:52.750]  Spray it all over the place, all over your plant.
[01:08:52.750 --> 01:08:54.750]  Definitely help to pull them off.
[01:08:54.750 --> 01:08:56.470]  Because they're not gonna wanna go,
[01:08:56.470 --> 01:08:59.630]  it's like the old Indians used to do.
[01:08:59.630 --> 01:09:01.070]  Even the Romans do.
[01:09:01.070 --> 01:09:03.630]  They'd hang humans on crosses on the roadway
[01:09:03.630 --> 01:09:05.710]  so you didn't fuck with them.
[01:09:05.710 --> 01:09:06.910]  I'm not going there, man.
[01:09:06.910 --> 01:09:09.190]  I'm not fucking with them.
[01:09:09.190 --> 01:09:11.270]  They're gonna smell all that death
[01:09:11.270 --> 01:09:14.110]  and they're not gonna wanna go near it.
[01:09:14.110 --> 01:09:16.870]  Wendy's been doing some playing around with that shit.
[01:09:16.870 --> 01:09:21.870]  I know a guy here, Ron, at Recon Insectaries,
[01:09:23.830 --> 01:09:25.710]  who's been doing that shit for years
[01:09:25.710 --> 01:09:26.870]  and it really does help.
[01:09:26.870 --> 01:09:30.590]  I mean, you can scare a pest off
[01:09:30.590 --> 01:09:34.750]  based on using their biology to send them a warning sign.
[01:09:34.750 --> 01:09:37.110]  You come here, we're killing you, motherfucker.
[01:09:39.350 --> 01:09:43.310]  Streets are roughly savage.
[01:09:43.310 --> 01:09:44.870]  Absolutely, man.
[01:09:44.870 --> 01:09:48.070]  Is there a predator for that as well?
[01:09:48.070 --> 01:09:51.590]  Cicadas, or I'm sorry, what the fuck?
[01:09:51.590 --> 01:09:52.630]  Yeah, cicadas.
[01:09:52.630 --> 01:09:55.590]  No, they're out of control, man.
[01:09:56.470 --> 01:09:57.790]  They outnumber everything.
[01:09:57.790 --> 01:09:59.830]  So I'm sure birds are picking them off,
[01:09:59.830 --> 01:10:03.070]  but they're like, we come with billions.
[01:10:04.990 --> 01:10:06.910]  An invasion, literally.
[01:10:06.910 --> 01:10:09.910]  So no, there's really not a lot you can do.
[01:10:09.910 --> 01:10:12.430]  I mean, even if you nuked them with an airplane,
[01:10:12.430 --> 01:10:14.630]  they're still gonna get through.
[01:10:14.630 --> 01:10:18.310]  And we know that's not gonna be beneficial to anything else.
[01:10:18.310 --> 01:10:19.510]  So you're better off to crush them
[01:10:19.510 --> 01:10:22.350]  and turn them into a nasty-ass juice
[01:10:22.350 --> 01:10:23.790]  and spray everything with it.
[01:10:24.790 --> 01:10:26.150]  And then you just foil their feed
[01:10:26.150 --> 01:10:29.190]  and then it kind of just takes over from there.
[01:10:29.190 --> 01:10:30.750]  Yeah, coat everything with it.
[01:10:31.750 --> 01:10:33.070]  It definitely would work.
[01:10:34.470 --> 01:10:37.070]  Or at least steer a bunch of them away from you,
[01:10:37.070 --> 01:10:37.990]  that's for sure.
[01:10:39.070 --> 01:10:41.310]  And then you probably would just do that once a week,
[01:10:41.310 --> 01:10:44.670]  once a month, if it's a major infestation?
[01:10:44.670 --> 01:10:45.670]  It would depend.
[01:10:45.670 --> 01:10:47.630]  If it rains, you're gonna lose it.
[01:10:47.630 --> 01:10:50.790]  So you'd have to reapply.
[01:10:51.230 --> 01:10:54.110]  But I would say that the greater the smell
[01:10:54.110 --> 01:10:56.390]  of all that bug death,
[01:10:56.390 --> 01:11:00.030]  the better chance you have of not getting an infestation
[01:11:00.030 --> 01:11:01.230]  that devastates you.
[01:11:03.430 --> 01:11:06.670]  You played around with predatory mice and stuff, Andrew?
[01:11:06.670 --> 01:11:07.550]  Yeah, absolutely.
[01:11:07.550 --> 01:11:10.450]  Those are definitely a regular part of my routine.
[01:11:11.430 --> 01:11:13.350]  Yeah, have you ever played around
[01:11:13.350 --> 01:11:15.630]  with that minute pirate bug?
[01:11:15.630 --> 01:11:16.750]  I have, I've used those.
[01:11:16.750 --> 01:11:19.150]  Those are actually pretty good for-
[01:11:19.150 --> 01:11:20.550]  They're savage.
[01:11:21.470 --> 01:11:22.630]  Yeah, they go hard.
[01:11:22.630 --> 01:11:23.870]  I mean, I haven't had any,
[01:11:23.870 --> 01:11:25.670]  they'd never bit me or anything.
[01:11:25.670 --> 01:11:28.070]  People were saying, I don't know,
[01:11:28.070 --> 01:11:29.830]  some people were saying that they would bite them
[01:11:29.830 --> 01:11:32.070]  and they'd get really mad and all this.
[01:11:32.070 --> 01:11:33.470]  That was not my experience with them.
[01:11:33.470 --> 01:11:36.230]  My experience with them was they were pretty chill.
[01:11:36.230 --> 01:11:37.350]  They stuck to the plants.
[01:11:37.350 --> 01:11:39.230]  They kind of buzzed a little bit around
[01:11:39.230 --> 01:11:40.230]  and you'd see them and you'd be like,
[01:11:40.230 --> 01:11:41.550]  oh shit, I got fungus gnats.
[01:11:41.550 --> 01:11:43.070]  I gotta get the nematodes out.
[01:11:43.070 --> 01:11:46.110]  But then you'd be like, oh, it's a pirate bug.
[01:11:46.110 --> 01:11:47.910]  And then it was cool again.
[01:11:47.910 --> 01:11:52.250]  But yeah, they're good for thrips, aphids, whatever.
[01:11:53.350 --> 01:11:56.070]  In the past, I've had some issues with thrips and whatnot.
[01:11:56.070 --> 01:12:00.430]  And I was able to get those under control using,
[01:12:00.430 --> 01:12:02.070]  I used cucumeris variety.
[01:12:02.070 --> 01:12:05.830]  I don't know if I'm pronouncing that right, but I use that.
[01:12:05.830 --> 01:12:08.270]  I use pirate bugs and nematodes
[01:12:08.270 --> 01:12:11.710]  and that really helped clean them out.
[01:12:11.710 --> 01:12:12.870]  And ladybugs too.
[01:12:12.870 --> 01:12:15.890]  Ladybugs actually eat a lot of those thrips.
[01:12:16.730 --> 01:12:19.970]  Have you ever played around with the green lacewings?
[01:12:19.970 --> 01:12:23.170]  Cause I feel like they're more effective than the ladybugs.
[01:12:23.170 --> 01:12:24.910]  I think that they are more effective,
[01:12:24.910 --> 01:12:27.970]  but see the problem is, is the green lacewings,
[01:12:27.970 --> 01:12:30.010]  they aren't as effective once they've matured.
[01:12:30.010 --> 01:12:32.810]  Like the larvae is what you want.
[01:12:32.810 --> 01:12:36.170]  And after, I mean, I guess ladybugs are the same way.
[01:12:36.170 --> 01:12:39.790]  Ladybugs have just been more my choice
[01:12:39.790 --> 01:12:41.570]  just because I could always just go down
[01:12:41.570 --> 01:12:43.050]  and buy them at the growth store
[01:12:43.050 --> 01:12:45.150]  and I couldn't get lacewings that way.
[01:12:46.730 --> 01:12:49.530]  The only thing I don't like about ladybugs
[01:12:49.530 --> 01:12:53.410]  is the way they're harvested is so not cool.
[01:12:53.410 --> 01:12:56.050]  I mean, they're just decimating entire colonies
[01:12:56.050 --> 01:12:57.410]  by collecting them.
[01:12:57.410 --> 01:13:01.130]  Whereas the lacewings and others are being grown out
[01:13:01.130 --> 01:13:04.130]  commercially in insectaries.
[01:13:04.130 --> 01:13:05.530]  For whatever reason, I don't know why
[01:13:05.530 --> 01:13:08.350]  they can't seem to grow out ladybugs,
[01:13:09.410 --> 01:13:11.450]  but they can all these other predators.
[01:13:11.450 --> 01:13:13.290]  So, you know.
[01:13:13.290 --> 01:13:16.810]  It seems like there's magic in sunlight for them.
[01:13:16.810 --> 01:13:18.370]  I think we've mentioned that a few times.
[01:13:18.370 --> 01:13:21.410]  It's like, you know, growing the ladybugs,
[01:13:21.410 --> 01:13:22.890]  or at least back when we were trying to do that,
[01:13:22.890 --> 01:13:24.350]  we were trying to get the larvae,
[01:13:24.350 --> 01:13:27.050]  like Andrew was saying, for the ladybugs as well.
[01:13:27.050 --> 01:13:28.410]  Cause that's really what's effective.
[01:13:28.410 --> 01:13:30.770]  It seems like the adults that you buy
[01:13:30.770 --> 01:13:32.450]  from your local growth store,
[01:13:32.450 --> 01:13:34.150]  they just want to reproduce and eat.
[01:13:34.150 --> 01:13:36.090]  And to be honest, it seems like they're pretty lazy
[01:13:36.090 --> 01:13:38.650]  once they accomplish both of those things.
[01:13:38.650 --> 01:13:41.130]  So it's not as effective unless it is like thrips
[01:13:41.130 --> 01:13:42.430]  or aphids kind of thing.
[01:13:43.530 --> 01:13:46.170]  So I'd love, yeah, I'd love to keep that discussion open
[01:13:46.170 --> 01:13:47.810]  cause I don't want people to waste their money
[01:13:47.810 --> 01:13:48.850]  this year going out.
[01:13:48.850 --> 01:13:51.530]  Cause a lot of people hype a lot of bullshit,
[01:13:51.530 --> 01:13:52.810]  I feel like, especially at these,
[01:13:52.810 --> 01:13:55.850]  even some of these local garden centers here in Denver.
[01:13:55.850 --> 01:13:58.090]  Oh, there's so much misinformation.
[01:13:58.090 --> 01:13:58.930]  So much.
[01:13:58.930 --> 01:14:00.110]  It's scary.
[01:14:00.110 --> 01:14:05.110]  Like I highly recommend people find Suzanne Bug Lady
[01:14:05.530 --> 01:14:09.330]  on IG, hit her up, use her as a consultant.
[01:14:09.330 --> 01:14:11.570]  She knows her stuff inside and out.
[01:14:11.570 --> 01:14:12.530]  She went to college.
[01:14:12.850 --> 01:14:14.170]  She's got a degree.
[01:14:14.170 --> 01:14:17.930]  She's not one of these people that are Google scholars,
[01:14:17.930 --> 01:14:18.810]  or what do you want to call them?
[01:14:18.810 --> 01:14:21.850]  YouTube graduates.
[01:14:21.850 --> 01:14:24.750]  She's done the work and she knows which insectaries
[01:14:24.750 --> 01:14:29.130]  are going to sell you viable material or viable bugs
[01:14:29.130 --> 01:14:31.970]  and the ones that are abusing it.
[01:14:31.970 --> 01:14:34.330]  And again, when we were doing the conferences,
[01:14:34.330 --> 01:14:36.210]  she would always say,
[01:14:36.210 --> 01:14:37.850]  you really want to go,
[01:14:37.850 --> 01:14:39.690]  you really want to make sure you're buying
[01:14:39.850 --> 01:14:43.370]  close to direct with the insectaries as you can,
[01:14:43.370 --> 01:14:45.330]  because a lot of these guys that sell a third
[01:14:45.330 --> 01:14:48.090]  or fourth party, it's been sitting on docks,
[01:14:48.090 --> 01:14:49.570]  it's been sitting in warehouses,
[01:14:49.570 --> 01:14:51.610]  it's been sitting in, you know,
[01:14:51.610 --> 01:14:54.530]  UPS trucks going across the country.
[01:14:54.530 --> 01:14:56.850]  So you really want to get, you know,
[01:14:56.850 --> 01:14:58.690]  the freshest viable bugs.
[01:14:58.690 --> 01:15:02.930]  You've got to go as close to direct as you possibly can.
[01:15:02.930 --> 01:15:04.330]  You're going to pull her up?
[01:15:05.170 --> 01:15:06.210]  Wider.
[01:15:06.210 --> 01:15:07.410]  The assassin bug.
[01:15:07.410 --> 01:15:08.730]  That's another gangster.
[01:15:09.690 --> 01:15:10.530]  Yeah, this one,
[01:15:10.530 --> 01:15:12.810]  because the pirate bug is similar to this, right?
[01:15:12.810 --> 01:15:16.490]  Like it has the long like horn
[01:15:16.490 --> 01:15:17.970]  that it just stabs things with
[01:15:17.970 --> 01:15:20.130]  and just sucks their insides out.
[01:15:20.130 --> 01:15:20.970]  Yeah, it's a spear.
[01:15:20.970 --> 01:15:21.810]  So this one's similar.
[01:15:21.810 --> 01:15:23.330]  These guys put them,
[01:15:23.330 --> 01:15:26.050]  they'll put their dead prey on their back to ward others.
[01:15:26.050 --> 01:15:28.850]  Yeah, they'll like flip them over backwards.
[01:15:29.810 --> 01:15:32.850]  They're fighting little scorpions in there.
[01:15:32.850 --> 01:15:36.330]  For some reason, my like suggested YouTube videos
[01:15:36.330 --> 01:15:39.570]  every time I'm on YouTube are insect death matches.
[01:15:40.450 --> 01:15:41.650]  So I actually watch a ton of these things
[01:15:41.650 --> 01:15:44.330]  and I'm like, that's fucking bad-ass.
[01:15:44.330 --> 01:15:45.890]  So this is Peter's porn.
[01:15:47.370 --> 01:15:48.210]  Yeah.
[01:15:51.050 --> 01:15:52.650]  Look at that thing, man.
[01:15:52.650 --> 01:15:54.890]  But these things beat the mantis.
[01:15:56.610 --> 01:15:57.450]  You know, right?
[01:15:57.450 --> 01:15:58.530]  And just like eat them alive.
[01:15:58.530 --> 01:16:02.610]  But anyway, not to get off topic.
[01:16:03.810 --> 01:16:05.690]  In for the kill.
[01:16:05.690 --> 01:16:06.530]  And then it flips it.
[01:16:06.530 --> 01:16:09.170]  I don't really see too many things attacking the scorpion.
[01:16:09.770 --> 01:16:12.170]  Like the scorpion's like stabbing it
[01:16:12.170 --> 01:16:14.210]  in the back of the neck.
[01:16:14.210 --> 01:16:15.530]  The thing's up there.
[01:16:18.010 --> 01:16:19.050]  Crazy.
[01:16:19.050 --> 01:16:21.650]  So Andrew, you going next level with all this, dude?
[01:16:23.370 --> 01:16:24.570]  I don't know about the bug fight.
[01:16:24.570 --> 01:16:27.530]  You need to up your predator game.
[01:16:28.850 --> 01:16:30.370]  Get some of these things.
[01:16:31.490 --> 01:16:33.970]  Ooh, now the other one's coming in and dude joining.
[01:16:33.970 --> 01:16:36.650]  Those look bigger than the ones I've ever had,
[01:16:36.650 --> 01:16:38.610]  assassin bug wise.
[01:16:38.970 --> 01:16:40.650]  Yeah, the pirate bugs probably won't bite you,
[01:16:40.650 --> 01:16:42.210]  but these motherfuckers would.
[01:16:44.210 --> 01:16:45.650]  These ones will take a rip of finger off.
[01:16:45.650 --> 01:16:47.210]  These look like abnormally big.
[01:16:48.290 --> 01:16:51.010]  Must be like an Australian version or something.
[01:16:51.010 --> 01:16:53.290]  And you see the other scorpion in the other corner
[01:16:53.290 --> 01:16:54.130]  just beating the scale.
[01:16:54.130 --> 01:16:56.770]  I wonder how big the scale of this.
[01:16:56.770 --> 01:16:58.250]  Like, you know what I mean?
[01:16:58.250 --> 01:17:00.410]  I wonder what the scale is.
[01:17:00.410 --> 01:17:02.690]  I mean, scorpions aren't small.
[01:17:02.690 --> 01:17:03.530]  Well, there are small.
[01:17:03.530 --> 01:17:05.850]  But there is small scorpions though, you know?
[01:17:05.850 --> 01:17:08.330]  The ones in Arizona are pretty damn small.
[01:17:09.050 --> 01:17:09.890]  They glow.
[01:17:09.890 --> 01:17:11.050]  You hit them with a-
[01:17:11.050 --> 01:17:16.050]  Look, you can see the little spike there on the face.
[01:17:16.130 --> 01:17:17.730]  I don't know the right verbiage.
[01:17:19.010 --> 01:17:19.850]  Spear.
[01:17:20.690 --> 01:17:21.530]  Spear.
[01:17:22.490 --> 01:17:25.050]  Think of it like a fungal feeding nematode
[01:17:25.050 --> 01:17:26.650]  or a leaf feeding nematode.
[01:17:26.650 --> 01:17:28.010]  You got a spear.
[01:17:28.010 --> 01:17:29.410]  That's the other thing, you know,
[01:17:29.410 --> 01:17:31.810]  I feel like all of us have played around with,
[01:17:31.810 --> 01:17:33.930]  you know, praying mantis and that kind of stuff
[01:17:33.930 --> 01:17:35.690]  and really seeing how effective that is
[01:17:35.730 --> 01:17:38.690]  because from, you know, my little world,
[01:17:38.690 --> 01:17:40.290]  when I was first starting out with this stuff,
[01:17:40.290 --> 01:17:43.330]  I noticed that as long as they went through the satchels,
[01:17:43.330 --> 01:17:45.450]  through the battle royale, if you will, kind of thing,
[01:17:45.450 --> 01:17:46.770]  the alphas emerge.
[01:17:46.770 --> 01:17:50.850]  And then if I kind of like kept them away from themselves,
[01:17:50.850 --> 01:17:52.930]  they would just kind of guard the plant that they were on.
[01:17:52.930 --> 01:17:55.450]  And it seemed like if they saw the other praying mantis,
[01:17:55.450 --> 01:17:56.730]  they wouldn't really mess with that one
[01:17:56.730 --> 01:17:59.770]  as long as I continued, I did kind of add ladybugs.
[01:17:59.770 --> 01:18:01.370]  If they weren't able to find anything,
[01:18:01.370 --> 01:18:02.810]  they would just go around and eat the ladybugs.
[01:18:02.810 --> 01:18:05.250]  So you did have to add a certain food
[01:18:05.810 --> 01:18:07.210]  to keep the praying mantis alive
[01:18:07.210 --> 01:18:08.770]  if you have a healthy garden.
[01:18:08.770 --> 01:18:11.610]  But to me, I feel like that's kind of rewarding sometimes
[01:18:11.610 --> 01:18:13.250]  to sit down there and just smoke a bowl
[01:18:13.250 --> 01:18:15.410]  or something like that and watch them go to work
[01:18:15.410 --> 01:18:19.910]  and how quickly they react and snag a ladybug burger.
[01:18:21.170 --> 01:18:22.530]  Ladybug burger.
[01:18:22.530 --> 01:18:24.450]  Yeah, that's what I used to have my kids.
[01:18:24.450 --> 01:18:25.970]  That's what I always called it.
[01:18:28.240 --> 01:18:30.200]  So what do you guys think of, like,
[01:18:30.200 --> 01:18:33.560]  do you think ladybugs still have, you know,
[01:18:33.560 --> 01:18:35.280]  adding them to feed a praying mantis?
[01:18:35.280 --> 01:18:36.520]  Does that make sense to you, Layton?
[01:18:36.520 --> 01:18:39.160]  Or do you feel like if they're not there anymore,
[01:18:39.160 --> 01:18:41.160]  like how do you continue to be proactive
[01:18:41.160 --> 01:18:42.800]  when your garden is successful?
[01:18:42.800 --> 01:18:45.040]  And that question's for you, Andrew, as well.
[01:18:46.240 --> 01:18:47.560]  I would say just scouting.
[01:18:47.560 --> 01:18:52.560]  I mean, like nature can get in balance and out of balance
[01:18:52.680 --> 01:18:54.040]  just like humans.
[01:18:54.040 --> 01:18:58.720]  So yeah, the temperature change, you know,
[01:18:58.720 --> 01:19:02.520]  extra wind, lack of moisture can screw things up
[01:19:02.520 --> 01:19:05.600]  and the pests or the predators will move on.
[01:19:05.600 --> 01:19:08.560]  I mean, I'm a big proponent of in the garden,
[01:19:08.560 --> 01:19:12.400]  make sure you have a big set of banker plants
[01:19:12.400 --> 01:19:16.000]  and pollinator gardens or pollinator flushes.
[01:19:16.000 --> 01:19:20.020]  So you're gonna be attracting those indigenous predators.
[01:19:20.020 --> 01:19:22.640]  That's, in my mind, the best way you can help
[01:19:22.640 --> 01:19:27.640]  to protect your garden from an invasion.
[01:19:27.640 --> 01:19:31.360]  And the other thing is just healthy soil, healthy plants.
[01:19:31.360 --> 01:19:33.400]  They're not even on the radar, you know?
[01:19:33.400 --> 01:19:36.120]  So if you do get a huge infestation,
[01:19:36.120 --> 01:19:38.840]  then you should be looking at your soil system,
[01:19:38.840 --> 01:19:41.160]  at whether it's chemistry or whether it's biology,
[01:19:41.160 --> 01:19:43.840]  because obviously that plant is stressed.
[01:19:43.840 --> 01:19:46.360]  And remember, bugs are recyclers.
[01:19:46.360 --> 01:19:49.640]  They're here to protect us or anything
[01:19:49.640 --> 01:19:52.280]  from consuming a plant that's not healthy.
[01:19:52.280 --> 01:19:54.160]  So they infest it, they take it down,
[01:19:54.160 --> 01:19:55.960]  they turn it back into soil.
[01:19:55.960 --> 01:19:57.960]  All the bugs are doing is recycling.
[01:19:57.960 --> 01:19:59.640]  That's their job.
[01:19:59.680 --> 01:20:02.560]  And so, when they get out of balance,
[01:20:02.560 --> 01:20:04.400]  chances are you need to look in the mirror and say,
[01:20:04.400 --> 01:20:05.640]  fuck, what did I do wrong?
[01:20:05.640 --> 01:20:09.200]  Or maybe I should be pulling out the microscope
[01:20:09.200 --> 01:20:12.360]  and look at the biome that's going on in my soil
[01:20:12.360 --> 01:20:15.080]  or the chemistry relationship.
[01:20:15.080 --> 01:20:16.840]  So don't hate on the bugs, man.
[01:20:16.840 --> 01:20:18.800]  They're just there to do the recycling.
[01:20:18.800 --> 01:20:22.040]  That's my opinion.
[01:20:22.040 --> 01:20:24.560]  And to you, Andrew, how do you feel about adding
[01:20:24.560 --> 01:20:26.640]  certain bugs to keep other bugs alive?
[01:20:26.640 --> 01:20:29.520]  Is that, do you feel like that's in the wheelhouse or?
[01:20:30.400 --> 01:20:32.240]  Oh yeah, I mean, that's definitely necessary.
[01:20:32.240 --> 01:20:35.160]  I mean, it's part of the food system, so to speak.
[01:20:35.160 --> 01:20:38.480]  You want things to survive and part and part of that
[01:20:38.480 --> 01:20:40.840]  is that, like he said, like having pollinators
[01:20:40.840 --> 01:20:44.000]  in your garden, because that is,
[01:20:44.000 --> 01:20:47.320]  it's a common source of food for a lot of the predators
[01:20:47.320 --> 01:20:49.880]  people are using in cannabis gardens in general.
[01:20:51.080 --> 01:20:55.680]  They tend to feed on that when there's no active prey.
[01:20:55.680 --> 01:20:58.560]  And I think that's a crucial piece to have
[01:20:58.560 --> 01:21:02.680]  is the pollinators, as well as some other soil dwelling.
[01:21:02.680 --> 01:21:05.640]  I like to do some hypoaspis
[01:21:05.640 --> 01:21:08.920]  and if I can get springtails going, I get them going.
[01:21:08.920 --> 01:21:12.680]  And yeah, usually just, yeah.
[01:21:13.640 --> 01:21:14.920]  Sorry, I'm bad at talking.
[01:21:15.960 --> 01:21:16.800]  You're all good, bro.
[01:21:16.800 --> 01:21:17.640]  Good phone too.
[01:21:19.600 --> 01:21:20.680]  Nah, man, it's cool.
[01:21:20.680 --> 01:21:23.200]  It's tough to do a debut and also have it live,
[01:21:23.200 --> 01:21:24.040]  I would think, man.
[01:21:24.040 --> 01:21:26.720]  So this is great, bro.
[01:21:26.720 --> 01:21:27.880]  There's a question for you.
[01:21:28.440 --> 01:21:33.440]  Are you a hand water, a blue mat guy, or how do you water?
[01:21:33.480 --> 01:21:36.040]  I do hand water for the most part.
[01:21:36.040 --> 01:21:40.320]  And sometimes like I'll wet the soil usually
[01:21:40.320 --> 01:21:45.320]  with like a watering can style, like a hose attachment.
[01:21:45.760 --> 01:21:48.400]  And then I'll like come through and then I'll water
[01:21:49.520 --> 01:21:51.200]  with more of like a gallon pitcher
[01:21:51.200 --> 01:21:52.320]  because the pots are big.
[01:21:52.320 --> 01:21:55.160]  And like when I first started growing
[01:21:55.160 --> 01:21:57.000]  with bigger living soil pots,
[01:21:57.040 --> 01:21:59.040]  I had kind of a challenging time
[01:22:00.400 --> 01:22:01.840]  getting it thoroughly wetted.
[01:22:01.840 --> 01:22:05.320]  So one thing I've done to help with that
[01:22:05.320 --> 01:22:09.720]  is kind of like have that like initial like wetting round
[01:22:09.720 --> 01:22:12.560]  where you go through and you kind of start the wetting
[01:22:12.560 --> 01:22:15.200]  with like I said, like a watering style can
[01:22:15.200 --> 01:22:17.400]  where it's kind of like a shower over
[01:22:17.400 --> 01:22:19.720]  and then come through and I can add my,
[01:22:21.080 --> 01:22:25.320]  more at once with like a bigger style watering device.
[01:22:25.320 --> 01:22:28.320]  So you don't keep your soil cover cropped?
[01:22:28.320 --> 01:22:30.640]  I do keep it cover cropped as well.
[01:22:30.640 --> 01:22:33.280]  Okay, but you still have some kind of dry down
[01:22:33.280 --> 01:22:35.560]  where you're gonna have to hand water?
[01:22:35.560 --> 01:22:39.480]  At certain points I did, but I have now remedied that
[01:22:39.480 --> 01:22:41.440]  just by mulch layering.
[01:22:41.440 --> 01:22:44.920]  And also, like I said, like that initial like watering,
[01:22:44.920 --> 01:22:48.480]  it helps to where I'm not getting any like run out of water
[01:22:48.480 --> 01:22:51.520]  from the pots like when I start watering
[01:22:51.520 --> 01:22:52.880]  at that initial dampening.
[01:22:52.880 --> 01:22:55.680]  And then like I said, introduce the rest of the water.
[01:22:55.680 --> 01:22:58.080]  So breaking the surface tension of the soil.
[01:22:58.080 --> 01:22:59.880]  Yes, absolutely.
[01:22:59.880 --> 01:23:01.640]  And what size pots are you running?
[01:23:02.840 --> 01:23:03.880]  So I kind of vary
[01:23:03.880 --> 01:23:05.800]  cause like I'm doing a lot of the genetic stuff
[01:23:05.800 --> 01:23:07.700]  like in the stuff like where I'm like running
[01:23:07.700 --> 01:23:09.040]  like my select clones,
[01:23:09.040 --> 01:23:13.080]  like I'll prefer like a 40 to 50 gallon pot.
[01:23:13.080 --> 01:23:16.280]  And then the stuff where I'm running my like pheno hunts,
[01:23:16.280 --> 01:23:19.060]  I'll do like 10 to 20 gallon pots.
[01:23:19.060 --> 01:23:22.200]  And those can be a little bit more challenging
[01:23:22.520 --> 01:23:25.120]  as far as like from a no-till perspective
[01:23:25.120 --> 01:23:26.720]  with the smaller pots,
[01:23:26.720 --> 01:23:30.440]  but they are effective at turning over,
[01:23:30.440 --> 01:23:33.720]  you know, like I said, like pheno hunts and whatnot.
[01:23:33.720 --> 01:23:36.640]  So I feel like part of that question is interesting,
[01:23:36.640 --> 01:23:41.120]  which is, do you like to keep your moisture band narrow
[01:23:41.120 --> 01:23:45.040]  and perfect like a blue mat system would do?
[01:23:45.040 --> 01:23:47.580]  Or like the opposite extreme is hand watering
[01:23:47.580 --> 01:23:49.640]  where it's gonna blow through
[01:23:49.640 --> 01:23:51.000]  that you're gonna overwater it
[01:23:51.000 --> 01:23:53.920]  and it's gonna go too moist and then like dry down
[01:23:53.920 --> 01:23:56.800]  and it's gonna go under your bottom perfect band.
[01:23:56.800 --> 01:23:58.920]  So I feel like,
[01:23:58.920 --> 01:24:02.240]  does that kind of stress the microbial system in a good way?
[01:24:02.240 --> 01:24:03.880]  Like where the strongest survive
[01:24:03.880 --> 01:24:06.920]  and then the water gets back to an optimal moisture
[01:24:06.920 --> 01:24:11.320]  and like they thrive and make your plants thrive too?
[01:24:11.320 --> 01:24:12.920]  That's a great question, Peter.
[01:24:14.180 --> 01:24:15.480]  You know, that was part of the reason
[01:24:15.480 --> 01:24:17.600]  why I put the horizontal soil system together
[01:24:17.600 --> 01:24:20.000]  was to handle those extremes.
[01:24:20.000 --> 01:24:23.160]  I mean, the nice part of using a super soil
[01:24:23.160 --> 01:24:25.680]  or a soilless medium is that
[01:24:25.680 --> 01:24:27.880]  you can just flush everything through there.
[01:24:27.880 --> 01:24:29.600]  The only problem is you move the fines
[01:24:29.600 --> 01:24:32.160]  and when you do that and the fines end up going anaerobic
