[00:00.000 --> 00:02.000]  1003
[01:35:45.930 --> 01:35:48.210]  And he he gave me some flowers.
[01:35:49.530 --> 01:35:52.810]  Just pull it up on my end here real quick to make sure I don't screw it up.
[01:35:52.810 --> 01:35:58.330]  But he had given me a Panama Red Death and then I think it was crossed.
[01:35:59.090 --> 01:36:00.210]  There is Panama Red Death.
[01:36:00.210 --> 01:36:02.130]  Is that a cross of Panama and Mexican?
[01:36:02.530 --> 01:36:02.930]  So.
[01:36:03.930 --> 01:36:06.690]  That's Peter, maybe you can dig that up.
[01:36:10.170 --> 01:36:12.530]  You know, it's let me find it here.
[01:36:13.370 --> 01:36:18.010]  I'm just I'm you know, when you're talking about it, though, Leighton, when you think
[01:36:18.010 --> 01:36:22.890]  about Panama Red Death, is that a pure Panama strain or is that a cross of Panamanian?
[01:36:23.730 --> 01:36:24.770]  You know, I don't know.
[01:36:24.770 --> 01:36:32.010]  All I know is that we would get this just dark red bud that they called, you know,
[01:36:33.010 --> 01:36:34.050]  that came from Panama.
[01:36:35.410 --> 01:36:36.890]  We just called it Panama Red.
[01:36:37.650 --> 01:36:40.730]  So I you know, this was this was back in the 70s, dude.
[01:36:40.770 --> 01:36:43.530]  So, you know, who knows what it really was?
[01:36:44.690 --> 01:36:47.650]  But whenever it came to town, man, we were all about it.
[01:36:47.730 --> 01:36:49.290]  It was the it was the go to.
[01:36:50.730 --> 01:36:54.930]  OK, so so I did find it on my blog, it's.
[01:36:56.730 --> 01:36:59.570]  Wonder made me do it is indoor run.
[01:36:59.610 --> 01:37:05.730]  And, you know, I'm not sure, you know, his flower looks almost like a classic haze and
[01:37:05.730 --> 01:37:08.570]  it smelled about like that as well.
[01:37:09.250 --> 01:37:11.810]  It was very sweet, had some cedar in it.
[01:37:11.810 --> 01:37:12.690]  Yeah, there you go.
[01:37:13.330 --> 01:37:16.090]  So the stuff we had was all red.
[01:37:16.210 --> 01:37:21.410]  I mean, it was just dark brown red, but more red than brown.
[01:37:21.570 --> 01:37:22.490]  And I don't know.
[01:37:22.490 --> 01:37:25.170]  You know, again, this was, you know, eons ago.
[01:37:26.690 --> 01:37:28.170]  I've never seen it.
[01:37:28.170 --> 01:37:32.210]  You know, I mean, it came around probably four or five years in a row.
[01:37:32.850 --> 01:37:39.250]  It would come in in the late summer and, you know, we would be all about it.
[01:37:39.250 --> 01:37:41.050]  And we just called it Panama Red.
[01:37:41.050 --> 01:37:42.530]  So but it was not green.
[01:37:42.570 --> 01:37:45.330]  I mean, it was literally brownish, dark red.
[01:37:46.650 --> 01:37:47.890]  Well, I'll tell you about it.
[01:37:48.810 --> 01:37:50.850]  Well, that's I mean, that's another one.
[01:37:50.850 --> 01:37:52.850]  I just I think there's so many of those.
[01:37:54.370 --> 01:37:57.970]  You know, land race varieties that you know, that's what I'm talking.
[01:37:58.810 --> 01:37:59.210]  Wow.
[01:38:01.730 --> 01:38:06.210]  Yeah, you know, I mean, there's there's so many of those varieties that.
[01:38:07.530 --> 01:38:10.850]  I've been personally bummed out by a lot of land race seeds,
[01:38:11.810 --> 01:38:15.810]  just for that reason, you know, guys like you, Leighton, talk about the tie stick.
[01:38:15.810 --> 01:38:20.370]  And every time I think I've, you know, ran some tie stick seeds or something,
[01:38:21.290 --> 01:38:24.890]  they're just never, never much to write home about.
[01:38:25.010 --> 01:38:31.210]  So I'm not sure if that's a product of, you know, taking the seed from one part of the world
[01:38:31.210 --> 01:38:35.530]  and growing it in an indoor room and just not performing due to environment
[01:38:35.530 --> 01:38:40.450]  or if those genetics have been lost or, you know, what's the case?
[01:38:40.450 --> 01:38:46.890]  But I think that, you know, that's probably sadly the case with Panama Red Death and some tie stick.
[01:38:46.890 --> 01:38:54.290]  It's probably pretty tough to find, you know, something that really resembles your experience from that era.
[01:38:55.890 --> 01:39:00.290]  Yeah, you know, and look, I think that you hit the nail on the head.
[01:39:00.290 --> 01:39:04.130]  The taro lob has a big to do, a big important piece of it.
[01:39:04.130 --> 01:39:11.850]  And maybe that expression is from, you know, the altitude or the humidity or whatever.
[01:39:11.850 --> 01:39:15.970]  And I know, you know, other people have said the same thing about, you know, the land race.
[01:39:16.330 --> 01:39:22.330]  And who knows whether those land race seeds are actually truly, you know, from a land race?
[01:39:22.370 --> 01:39:25.130]  You know, you just don't know unless you're collecting them yourself.
[01:39:25.650 --> 01:39:29.890]  Right. You know where they came from and where they were.
[01:39:29.890 --> 01:39:35.570]  They, you know, a genetic that has had drift, you know, because of repeated inbreeding.
[01:39:36.010 --> 01:39:37.450]  So it's just it's hard to say.
[01:39:37.450 --> 01:39:43.770]  And, you know, again, I have those wonderful, fond memories of being a kid and having some of these incredible
[01:39:43.770 --> 01:39:46.570]  smokes that I've never been able to find again.
[01:39:47.130 --> 01:39:50.290]  And but hopefully there are people people work on it.
[01:39:50.290 --> 01:39:58.610]  I mean, you got to believe that the that, you know, through proper breeding, some of those expressions can come back out.
[01:39:58.610 --> 01:40:03.730]  And I know, you know, like some people have had some great success and others have have not.
[01:40:05.090 --> 01:40:10.490]  You know, and I know like what's his name?
[01:40:11.290 --> 01:40:18.690]  Javan Jodri has, you know, has been able to bring back certain strains from near death experience.
[01:40:19.090 --> 01:40:24.490]  And, you know, with the earth box that Alan Atkins has put together.
[01:40:24.490 --> 01:40:32.890]  So hopefully, you know, people do find their fathers or grandfathers seed that, you know, that they got in the bag and pop it.
[01:40:32.890 --> 01:40:42.010]  And hopefully some of this magic comes back into our our, you know, our presence again, because it was those were some wonderful, wonderful cultivars for sure.
[01:40:43.010 --> 01:40:49.010]  Well, I do think, you know, as we see increased legalization, it could go one of two ways.
[01:40:49.010 --> 01:40:57.810]  And one is, you know, we might end up with the equivalent of beefsteak tomatoes everywhere where there's very midsy weed everywhere.
[01:40:58.690 --> 01:41:11.170]  But the other one is that as things open up, you know, we'll start seeing people growing these different strains in all different environments and then processing them differently.
[01:41:11.170 --> 01:41:17.170]  And I think because of all those variables, there's going to be a lot of diversity of product.
[01:41:17.170 --> 01:41:19.170]  The more things open up.
[01:41:19.170 --> 01:41:29.170]  And I think, you know, we might end up seeing flowers like the ones that you remember and experiences like those kind of resurface.
[01:41:30.170 --> 01:41:42.170]  You know, that all that stuff is kind of dormant in a sense in the gene pool and just kind of has to come out, you know, given given proper environment and processing.
[01:41:42.170 --> 01:41:49.170]  You know, I noticed everyone in the comments kind of mentioning that a lot of the color was due to the processing and that kind of thing.
[01:41:49.170 --> 01:41:53.170]  I mean, I you know, if you look at tea, it's kind of a parallel.
[01:41:53.170 --> 01:42:05.170]  There's a million ways to process tea leaves and you can have the exact same tea plant grown in, you know, different environments and then process differently.
[01:42:05.170 --> 01:42:08.170]  And it can be a totally different drinking experience.
[01:42:09.170 --> 01:42:19.170]  I think the more that the cannabis becomes legalized and normalized and, you know, the production really builds all over the world.
[01:42:19.170 --> 01:42:30.170]  Really, I think we're going to start seeing a lot of these unique, unique processing methods and really unique end products kind of start to come back out.
[01:42:31.170 --> 01:42:33.170]  You know, I think you're right.
[01:42:34.170 --> 01:42:47.170]  You know, Kevin was talking to me about curing rooms and actually using like like a wood room, kind of like they did with a tobacco over in Connecticut.
[01:42:47.170 --> 01:42:50.170]  Back in the day, you saw those tobacco sheds for drying.
[01:42:50.170 --> 01:43:09.170]  And, you know, there's there's there's definitely something to it because, you know, you can tell the difference between blood that has been really cured well and with love and responsibility versus stuff that has just been like, you know, thrown in a bucket, burped periodically.
[01:43:09.170 --> 01:43:22.170]  So, you know, again, those these types of things may help, you know, bring out some of those minor expressions and perhaps, you know, the genetics that have drifted away from some of the past cultivars.
[01:43:22.170 --> 01:43:29.170]  But I hope I hope your first view of the future isn't the truth because you're right.
[01:43:29.170 --> 01:43:42.170]  I mean, it very well could be that because of all the breeding and without having some land race or some ultimate beginning genetics that we may end up just breeding, breeding all the good things out of it.
[01:43:42.170 --> 01:43:47.170]  But I don't know. I still think there's enough of you guys out there that are really doing the work.
[01:43:47.170 --> 01:43:49.170]  Me and Gene, big shout out to him.
[01:43:49.170 --> 01:44:06.170]  I remember at the last region conference that he was there on the breeders panel talking about one of the sifts that he did was and I believe it was like probably one of the biggest sifts ever done in Humboldt, where he visited so many farms and popped so many beans.
[01:44:06.170 --> 01:44:21.170]  And, you know, guys like that are out there really doing the work. And, you know, I think that for the most part, the plant is in a safe place as far as being responsibly taken care of with breeders like he and Michael Hinden was another one.
[01:44:21.170 --> 01:44:29.170]  And there's the list goes on. I mean, I can go on and on. Kaya, he's another one. They're really doing the work responsibly.
[01:44:29.170 --> 01:44:33.170]  Coming up with some badass stuff.
[01:44:34.170 --> 01:44:36.170]  And it's not all the same.
[01:44:36.170 --> 01:44:40.170]  And Layton, this is the thing that John Walsh had in his bedroom.
[01:44:40.170 --> 01:44:41.170]  That's it.
[01:44:41.170 --> 01:44:47.170]  That's a family reference. Someone who we both knew.
[01:44:47.170 --> 01:44:49.170]  In the 70s and 80s.
[01:44:49.170 --> 01:44:50.170]  Four stars, huh?
[01:44:50.170 --> 01:44:51.170]  Yeah.
[01:44:51.170 --> 01:44:52.170]  I gave it a four star rating.
[01:44:53.170 --> 01:44:56.170]  Oh, man, I had mine. Mine was more like purple color.
[01:44:56.170 --> 01:45:03.170]  You know, I think it might have had something to do with the lighting inside, too, because it was these weird like grow lights in there.
[01:45:03.170 --> 01:45:10.170]  And my plant would just push up against the sides of it. Like, you know, you see the guy with his face pasted to the glass.
[01:45:10.170 --> 01:45:14.170]  That's what my weed looked like when I grew it in that thing.
[01:45:14.170 --> 01:45:19.170]  I never did really grow great weed. I was much better planting it outside.
[01:45:19.170 --> 01:45:23.170]  But that was my winter stash, you know, because we couldn't grow all year long.
[01:45:23.170 --> 01:45:25.170]  It's not like here in SoCal.
[01:45:25.170 --> 01:45:28.170]  That's fun memories, for sure.
[01:45:31.170 --> 01:45:34.170]  What about one that nobody seems to want to grow anymore? A haze.
[01:45:34.170 --> 01:45:37.170]  The mango Nigerian haze.
[01:45:37.170 --> 01:45:41.170]  Man, yeah, that was another one that Wunder grew.
[01:45:41.170 --> 01:45:47.170]  And, you know, he's just got like a bunch of really cool sativas that he hangs on to.
[01:45:48.170 --> 01:45:58.170]  And, you know, I had grown back when I was doing the aeroponic thing, I had grown some Neville's haze and some moonshine haze.
[01:45:58.170 --> 01:46:01.170]  You know, some of those more classics.
[01:46:01.170 --> 01:46:06.170]  I've never grown the original haze, but, you know, the Neville's is pretty close.
[01:46:06.170 --> 01:46:15.170]  And those are, they used to be probably my all time favorite weed.
[01:46:15.170 --> 01:46:18.170]  They were just, you know, the best.
[01:46:18.170 --> 01:46:20.170]  Peter, you got something to show there?
[01:46:20.170 --> 01:46:23.170]  Yeah, I can't see it. What are you holding up?
[01:46:23.170 --> 01:46:25.170]  Some Dreamtime haze.
[01:46:25.170 --> 01:46:27.170]  Oh, look at that.
[01:46:27.170 --> 01:46:29.170]  Did you just grow that?
[01:46:29.170 --> 01:46:31.170]  How long did that take you?
[01:46:36.700 --> 01:46:41.700]  I squeezed it in at the beginning of the summer.
[01:46:41.700 --> 01:46:46.700]  So it was kind of like a late winter, early summer seeding it out.
[01:46:46.700 --> 01:46:50.700]  So it was more for seeds.
[01:46:50.700 --> 01:46:53.700]  Oh, you just grew that for seeds.
[01:46:53.700 --> 01:46:55.700]  Nice.
[01:46:55.700 --> 01:46:59.700]  How is your pot working? Did you finally get that thing planted up?
[01:46:59.700 --> 01:47:04.700]  We are about to, well, I want to put something in there that's going to be full term.
[01:47:04.700 --> 01:47:10.700]  So I have a whole bunch of stuff I just popped recently.
[01:47:10.700 --> 01:47:15.700]  And then some of the stuff from Alex Hardy and Mr. Toad.
[01:47:15.700 --> 01:47:20.700]  So I need a female to put in there because I don't want to kill a male.
[01:47:20.700 --> 01:47:24.700]  I will do grow diaries. I see that comment.
[01:47:24.700 --> 01:47:27.700]  I just need to set up.
[01:47:27.700 --> 01:47:30.700]  Currently it's at Tom's house.
[01:47:30.700 --> 01:47:34.700]  And I like squirrel away grows at different people's houses.
[01:47:34.700 --> 01:47:38.700]  So since I'm not allowed to do it at home.
[01:47:38.700 --> 01:47:42.700]  And that's where the big greenhouse is hopefully going to come into play
[01:47:42.700 --> 01:47:44.700]  where I can just go nuts.
[01:47:44.700 --> 01:47:47.700]  But yes, some grow journals.
[01:47:47.700 --> 01:47:49.700]  Have you talked to him more?
[01:47:49.700 --> 01:47:51.700]  Yeah, no.
[01:47:51.700 --> 01:47:54.700]  I sent him an email a couple of days ago.
[01:47:54.700 --> 01:47:57.700]  I was going to check in with him later today and give him a call.
[01:47:57.700 --> 01:48:00.700]  But basically I was like, I'm ready to start.
[01:48:00.700 --> 01:48:01.700]  Are you?
[01:48:01.700 --> 01:48:05.700]  Dude, I would love to have a space to grow because I can't grow anything.
[01:48:05.700 --> 01:48:09.700]  Ryan, I signed a lease and I love my way.
[01:48:09.700 --> 01:48:10.700]  I want to piss her off.
[01:48:10.700 --> 01:48:11.700]  It is.
[01:48:11.700 --> 01:48:13.700]  It is equidistant between the two of us.
[01:48:13.700 --> 01:48:15.700]  Right.
[01:48:15.700 --> 01:48:16.700]  Yeah, we should.
[01:48:16.700 --> 01:48:18.700]  It's in for anybody who's listening.
[01:48:18.700 --> 01:48:22.700]  It's in Camarillo, which is on the north side of the state.
[01:48:23.700 --> 01:48:26.700]  And Camarillo, which is on the 101,
[01:48:26.700 --> 01:48:29.700]  kind of at the heart of strawberry country in SoCal.
[01:48:29.700 --> 01:48:32.700]  So it's a cool spot.
[01:48:32.700 --> 01:48:34.700]  Yeah, and Rodale's there too.
[01:48:34.700 --> 01:48:39.700]  My good friend Ariana, who we're doing some work with,
[01:48:39.700 --> 01:48:42.700]  which we'll probably chop it up about sometime in the near future.
[01:48:42.700 --> 01:48:44.700]  But right now it's still really cool.
[01:48:44.700 --> 01:48:48.700]  Yeah, I was going to mic her up and walk the hemp fields
[01:48:49.700 --> 01:48:53.700]  because she's growing for microgreens for restaurant salads.
[01:48:53.700 --> 01:49:01.700]  So she's trying to figure out what at an early stage level could you pull
[01:49:01.700 --> 01:49:08.700]  and get the tastiest mixed greens to mix into your hipster salads
[01:49:08.700 --> 01:49:13.700]  with the kale and arugula and other leafy greens.
[01:49:13.700 --> 01:49:19.700]  Well, as we all know, they will take the expressions on of things
[01:49:19.700 --> 01:49:21.700]  grown with them, like in polyculture.
[01:49:21.700 --> 01:49:25.700]  I should remind her that she should be growing peppers right next to the
[01:49:25.700 --> 01:49:29.700]  greens because they will take on that heat and that flavor,
[01:49:29.700 --> 01:49:31.700]  the spiciness of the vegetables.
[01:49:31.700 --> 01:49:35.700]  Well, I told her I wanted to take over all the acreage next to the hemp
[01:49:35.700 --> 01:49:39.700]  because she has like four or five other acres.
[01:49:39.700 --> 01:49:41.700]  And she's like, I don't have anyone to help out.
[01:49:41.700 --> 01:49:43.700]  So I was like, I'll help.
[01:49:43.700 --> 01:49:44.700]  I know.
[01:49:44.700 --> 01:49:47.700]  She's got a whole bunch of stuff.
[01:49:47.700 --> 01:49:50.700]  Let's go wild.
[01:49:50.700 --> 01:49:55.700]  Take turns going up there, right?
[01:49:55.700 --> 01:49:57.700]  Anyway, we got off subject there a little bit.
[01:49:57.700 --> 01:49:59.700]  Sorry, Brian.
[01:49:59.700 --> 01:50:00.700]  No problem.
[01:50:00.700 --> 01:50:03.700]  It's like you're reminiscing in the future, you know?
[01:50:03.700 --> 01:50:06.700]  Like you guys were bonding over something that happened back to the future
[01:50:06.700 --> 01:50:07.700]  style or something.
[01:50:07.700 --> 01:50:08.700]  There you go.
[01:50:08.700 --> 01:50:10.700]  So that'd be really cool if you guys were able to pull that off.
[01:50:10.700 --> 01:50:11.700]  Yeah.
[01:50:11.700 --> 01:50:12.700]  We were going to talk hazes.
[01:50:12.700 --> 01:50:14.700]  So is that something that even, you know,
[01:50:14.700 --> 01:50:16.700]  to incorporate what you're just talking about?
[01:50:16.700 --> 01:50:18.700]  Do you guys think that's going to be something that's worthwhile for you
[01:50:18.700 --> 01:50:20.700]  guys to do?
[01:50:20.700 --> 01:50:21.700]  Man. I mean,
[01:50:21.700 --> 01:50:25.700]  I think there's something unique about haze that you don't get anywhere else
[01:50:25.700 --> 01:50:26.700]  in the gene pool.
[01:50:26.700 --> 01:50:32.700]  My experience with the best hazes is, you know,
[01:50:32.700 --> 01:50:35.700]  I haven't tried the tie stick that Leighton was talking about.
[01:50:35.700 --> 01:50:38.700]  I haven't tried, you know, the, all the exotic land races,
[01:50:38.700 --> 01:50:43.700]  the Panama red, the black Congo magic, all that stuff.
[01:50:43.700 --> 01:50:46.700]  But by all reports,
[01:50:46.700 --> 01:50:51.700]  the way that haze affects me is the most,
[01:50:51.700 --> 01:50:54.700]  it's the closest that I think I can get to those experiences.
[01:50:54.700 --> 01:50:56.700]  I mean, I, you know,
[01:50:56.700 --> 01:51:00.700]  I've spent some time in Amsterdam,
[01:51:01.700 --> 01:51:04.700]  Smoked quite a bit of Amsterdam haze when I was over there.
[01:51:04.700 --> 01:51:08.700]  And I did smoke some pure tie, some pure Cambodians, lay ocean.
[01:51:08.700 --> 01:51:11.700]  And they all, you know,
[01:51:11.700 --> 01:51:15.700]  I think haze probably has quite a bit of Southeast Asian genetics in it.
[01:51:15.700 --> 01:51:18.700]  But it's, it's such a unique,
[01:51:18.700 --> 01:51:22.700]  incredible experience that you don't get with other kinds of weed.
[01:51:22.700 --> 01:51:25.700]  It's, you know,
[01:51:25.700 --> 01:51:28.700]  pretty much entirely in your head.
[01:51:28.700 --> 01:51:32.700]  If you try to smoke the volume that, you know,
[01:51:32.700 --> 01:51:36.700]  you'll find people smoking at like cups, for example. I mean,
[01:51:36.700 --> 01:51:41.700]  you're gonna have such a paranoid, like freak out experience.
[01:51:41.700 --> 01:51:44.700]  It's, you know, there's, there's like no CBD in that stuff.
[01:51:44.700 --> 01:51:49.700]  No CBN, if it's fresh and can just be,
[01:51:49.700 --> 01:51:50.700]  you know,
[01:51:50.700 --> 01:51:53.700]  really it can be overwhelming like electric,
[01:51:53.700 --> 01:51:57.700]  just racing thoughts. I mean, almost psychedelic, you know,
[01:51:57.700 --> 01:51:59.700]  you almost feel like you're on,
[01:51:59.700 --> 01:52:03.700]  on the come up on mushrooms or something where your thoughts just start
[01:52:03.700 --> 01:52:04.700]  going. And, you know,
[01:52:04.700 --> 01:52:08.700]  you find yourself kind of mentally almost spinning out and you have to kind
[01:52:08.700 --> 01:52:12.700]  of cool it and it'll even come in waves, you know,
[01:52:12.700 --> 01:52:15.700]  you're not, you're not, you're not, you're not, you're not,
[01:52:15.700 --> 01:52:17.700]  you're not, you're not, you're not, you're not, you're not,
[01:52:18.700 --> 01:52:21.700]  It'll even come in waves. You know, you're really, really, really high,
[01:52:21.700 --> 01:52:23.700]  almost too high, uncomfortably high.
[01:52:23.700 --> 01:52:28.700]  And then all of a sudden you barely feel anything and it's,
[01:52:28.700 --> 01:52:31.700]  it was such a, such a rush that now you're, you know,
[01:52:31.700 --> 01:52:34.700]  packing another bowl and before you're even finished packing it,
[01:52:34.700 --> 01:52:38.700]  you're getting another come up and starting to get so high that you're
[01:52:38.700 --> 01:52:43.700]  paranoid again. But it's, it's such a fun experience.
[01:52:43.700 --> 01:52:48.700]  I think if you don't overdo it, it can just be really exciting.
[01:52:48.700 --> 01:52:52.700]  Colors can even be brighter, you know, textures are more vivid.
[01:52:52.700 --> 01:52:58.700]  You go out in the world and it kind of instills like wonder in you,
[01:52:58.700 --> 01:53:03.700]  you know, like childlike wonder. So I, I mean, to me,
[01:53:03.700 --> 01:53:09.700]  Hayes is an experience that is really kind of exquisite.
[01:53:09.700 --> 01:53:13.700]  It's so exotic. It's so rare. People don't want to grow Hayes.
[01:53:13.700 --> 01:53:16.700]  They don't want to, it's a total pain to grow both indoor and out.
[01:53:16.700 --> 01:53:18.700]  Very long flowering,
[01:53:18.700 --> 01:53:22.700]  very easy to beat up the buds when you're processing them.
[01:53:22.700 --> 01:53:26.700]  So lots of opportunity to go wrong, very hard to do right.
[01:53:26.700 --> 01:53:33.700]  And when it's done right, it's just such a special experience that,
[01:53:33.700 --> 01:53:36.700]  I mean that, I mean, you know,
[01:53:36.700 --> 01:53:39.700]  really on the whole theme of today of finding experiences in cannabis that
[01:53:39.700 --> 01:53:42.700]  you might not have known existed. If you've never smoked Hayes,
[01:53:42.700 --> 01:53:45.700]  that's absolutely one of them. You know,
[01:53:45.700 --> 01:53:50.700]  find some super unique Hayes and I guarantee it's there,
[01:53:50.700 --> 01:53:54.700]  there's no other cannabis like it. It's, it's really incredible stuff.
[01:53:54.700 --> 01:53:57.700]  You know what? You hit the nail on the head, dude. And this is,
[01:53:57.700 --> 01:54:00.700]  this is what we used to do. We smoked that shit.
[01:54:00.700 --> 01:54:03.700]  We'd play Frisbee or we'd go fishing or we'd go hiking.
[01:54:03.700 --> 01:54:06.700]  It's not one of those weeds you smoke and sit around.
[01:54:06.700 --> 01:54:11.700]  You do things with it and that's the only way that you don't go to the point
[01:54:11.700 --> 01:54:13.700]  where you get paranoid and crazy.
[01:54:13.700 --> 01:54:17.700]  You can't sit around, right? You have to go.
[01:54:17.700 --> 01:54:19.700]  You can't really sit around, right?
[01:54:19.700 --> 01:54:23.700]  It's like you have to go do something because you've got this kind of extra
[01:54:23.700 --> 01:54:25.700]  anxiety almost.
[01:54:25.700 --> 01:54:28.700]  Literally. And I like the way you described things.
[01:54:28.700 --> 01:54:31.700]  Things look different. Like they're crisper.
[01:54:32.700 --> 01:54:35.700]  They have a little bit more glow to them. No, you,
[01:54:35.700 --> 01:54:38.700]  you described it really, really well. So thank you for,
[01:54:38.700 --> 01:54:39.700]  for clearing that up.
[01:54:39.700 --> 01:54:43.700]  And if any of you people have never smoked Hayes and you try smoking some glow
[01:54:43.700 --> 01:54:45.700]  and slow dude, big time, cause you will,
[01:54:45.700 --> 01:54:49.700]  you will get really crazy paranoid and have an activity plan.
[01:54:49.700 --> 01:54:52.700]  Don't just plan to sit around with a bowl of popcorn.
[01:54:52.700 --> 01:54:55.700]  You're probably not going to have fun with it and probably won't ever smoke it
[01:54:55.700 --> 01:55:00.700]  again. But there is an incredible uplifting energy that comes from it.
[01:55:00.700 --> 01:55:02.700]  And you know, you'll,
[01:55:02.700 --> 01:55:06.700]  you'll enjoy whatever you're doing a lot more with a couple of hits of that
[01:55:06.700 --> 01:55:07.700]  stuff in your lungs.
[01:55:08.700 --> 01:55:13.700]  Absolutely. Absolutely. And you know, I mean, it's,
[01:55:13.700 --> 01:55:18.700]  that's like the true sativa experience to me is kind of everything.
[01:55:19.700 --> 01:55:23.700]  You know, when I, when I hear sativa, I think about the Hayes experience.
[01:55:24.700 --> 01:55:26.700]  Whereas, you know,
[01:55:26.700 --> 01:55:31.700]  I think a lot of times today people will use that term sativa you know,
[01:55:32.700 --> 01:55:35.700]  on, on plants that are really not even close to that,
[01:55:35.700 --> 01:55:40.700]  that end of the spectrum maybe just not a super couch lock Indica.
[01:55:42.700 --> 01:55:44.700]  But that, you know, for, for people listening,
[01:55:44.700 --> 01:55:48.700]  if you haven't had that experience with your,
[01:55:50.700 --> 01:55:55.700]  with your Hayes or some kind of sativa flower that's definitely one worth
[01:55:55.700 --> 01:56:00.700]  seeking out. And you know, the flavor I would say is just as unique as well.
[01:56:02.700 --> 01:56:07.700]  You know, you get some of these cedar or frankincense or kind of incense like
[01:56:08.700 --> 01:56:10.700]  aromas that you know,
[01:56:10.700 --> 01:56:13.700]  you're definitely not going to find in designer strains of today.
[01:56:15.700 --> 01:56:20.700]  Yeah. It's almost musky, right? It has that weird earthy kind of,
[01:56:21.700 --> 01:56:24.700]  I don't know how to describe it. I think it was frankincense. Yeah.
[01:56:25.700 --> 01:56:27.700]  Definitely something funky, you know,
[01:56:27.700 --> 01:56:31.700]  there's like a sweet spice, like there's, there's sweet notes in there.
[01:56:31.700 --> 01:56:36.700]  There's spicy notes, there's incense. It's, it's just very exotic smelling.
[01:56:37.700 --> 01:56:42.700]  Sometimes I describe it as like if you pop into like a really old like cedar
[01:56:44.700 --> 01:56:48.700]  chest or something that hasn't been opened for awhile and you know,
[01:56:48.700 --> 01:56:53.700]  you get that like first rush of still air that's been sitting there for a long
[01:56:53.700 --> 01:56:57.700]  time. Yeah. Musky, right? Yeah. Great way to describe it.
[01:56:58.700 --> 01:57:02.700]  Brian taking a hit. CB blows his lungs out.
[01:57:04.700 --> 01:57:08.700]  I try to do a discreet, but Peter didn't let that happen.
[01:57:09.700 --> 01:57:10.700]  Or maybe I'm doing it too often.
[01:57:13.700 --> 01:57:14.700]  This is excellent conversation guys.
[01:57:14.700 --> 01:57:18.700]  This is the kind of stuff that I really like to kind of get into is because
[01:57:19.700 --> 01:57:23.700]  when you understand the variety of stuff and then you can see like with some
[01:57:23.700 --> 01:57:26.700]  kind of reference point of what the genetic should look like,
[01:57:26.700 --> 01:57:31.700]  I feel like then you can kind of make a more educated guess on, you know,
[01:57:31.700 --> 01:57:33.700]  maybe breeders that stick out to you.
[01:57:33.700 --> 01:57:35.700]  I know when I was first starting with this stuff, I mean,
[01:57:35.700 --> 01:57:38.700]  everybody supposedly looked cool and on overgrow that, you know,
[01:57:39.700 --> 01:57:41.700]  people would talk about all how some still today,
[01:57:41.700 --> 01:57:44.700]  I mean some of these guys are still growing stuff and how awful the gear
[01:57:44.700 --> 01:57:48.700]  actually was when they would grow it at scale. They're, you know,
[01:57:49.700 --> 01:57:53.700]  just, it seemed like a lot of stuff and I'm sure it still continues with,
[01:57:54.700 --> 01:57:57.700]  with people that we don't even know about, but it does seem like for,
[01:57:57.700 --> 01:58:00.700]  for a long time, people were just putting out whatever.
[01:58:01.700 --> 01:58:03.700]  And then we would all say like, Oh, this is fantastic.
[01:58:03.700 --> 01:58:05.700]  And then it would kind of fizzle out or, you know,
[01:58:06.700 --> 01:58:09.700]  there didn't seem like when I first got into this,
[01:58:09.700 --> 01:58:13.700]  there was anything that really stood out until we ourselves went and started
[01:58:13.700 --> 01:58:15.700]  educating ourselves on genetics. And we were like, wow,
[01:58:15.700 --> 01:58:17.700]  we were getting trash back in the day.
[01:58:17.700 --> 01:58:21.700]  I even remember driving to the like the continental divide up on there to get
[01:58:21.700 --> 01:58:22.700]  like a purple cush.
[01:58:23.700 --> 01:58:25.700]  And because we thought like purple weed was just going to sell.
[01:58:26.700 --> 01:58:29.700]  And I think that's like a two and a half drive hour drive one way.
[01:58:29.700 --> 01:58:32.700]  And then when we got there, they gave us this like puny little tiny plant.
[01:58:33.700 --> 01:58:36.700]  And that was supposedly for like 500 bucks. So again, you know,
[01:58:36.700 --> 01:58:38.700]  you're in certain situations where you just feel like you're getting ripped
[01:58:38.700 --> 01:58:42.700]  off. I mean, I wish I, I wish I would've taken a photo.
[01:58:42.700 --> 01:58:45.700]  I wish I would've taken a photo of that because to drive that far, man,
[01:58:45.700 --> 01:58:48.700]  and to see those genetics, I mean, it just,
[01:58:48.700 --> 01:58:51.700]  it was cowboy esque back in the day when you're trying to figure this shit
[01:58:51.700 --> 01:58:53.700]  out. And now it's not.
[01:58:53.700 --> 01:58:58.700]  So you guys definitely need to educate yourself on genetics. I feel like that's,
[01:58:58.700 --> 01:58:59.700]  again, personal preference. I mean, there's,
[01:59:00.700 --> 01:59:02.700]  you could name somebody's genetics and there's going to be a ton of people
[01:59:02.700 --> 01:59:04.700]  that love them and a ton of people that don't.
[01:59:04.700 --> 01:59:07.700]  So that's on you to do your homework. And that's again, why, you know,
[01:59:08.700 --> 01:59:11.700]  we're talking with Jim today is because I feel like, man, your, your references,
[01:59:11.700 --> 01:59:14.700]  it's somewhere where somebody can get more of like a cliff notes, if you will,
[01:59:14.700 --> 01:59:17.700]  just a quality review of something and then run with it.
